id,label,weight,jetty.Password.main_BasicBlock_285_368,jetty.Password.main_BasicBlock_298_743,jetty.Password.main_BasicBlock_300_780,jetty.Password.main_BasicBlock_285_328,jetty.Credential.stringEquals_BasicBlock_104_115,jetty.Password.main_BasicBlock_285_284,jetty.Password.dummy_BasicBlock_271_0,jetty.Password.main_BasicBlock_322_1012,jetty.Password.main_BasicBlock_285_244,jetty.Password.main_BasicBlock_285_202,jetty.Password.check_BasicBlock_120_0,jetty.Password.main_BasicBlock_294_681,jetty.Password.main_BasicBlock_276_0,jetty.Password.main_BasicBlock_294_721,jetty.Password.main_BasicBlock_310_865,jetty.Password.main_BasicBlock_285_159,jetty.Password.main_BasicBlock_285_350,jetty.Credential.stringEquals_BasicBlock_105_172,jetty.Password.main_BasicBlock_289_411,jetty.Password.main_BasicBlock_280_38,jetty.Credential.stringEquals_BasicBlock_97_44,jetty.Password.main_BasicBlock_282_91,jetty.Password.main_BasicBlock_294_532,jetty.Password.main_BasicBlock_294_577,jetty.Credential.stringEquals_BasicBlock_103_102,jetty.Password.main_BasicBlock_294_659,jetty.Password.main_BasicBlock_294_615,jetty.Password.main_BasicBlock_282_133,jetty.Password.main_BasicBlock_300_1036,jetty.Password.main_BasicBlock_285_306,jetty.Password.main_BasicBlock_285_262,jetty.Password.main_BasicBlock_292_462,jetty.Password.main_BasicBlock_308_918,jetty.Credential.checkChar_BasicBlock_84_16,jetty.Password.main_BasicBlock_285_224,jetty.Credential.stringEquals_BasicBlock_99_72,jetty.Password.main_BasicBlock_294_703,jetty.Credential.stringEquals_BasicBlock_106_140,jetty.Password.main_BasicBlock_289_390,jetty.Password.main_BasicBlock_304_829,jetty.Password.main_BasicBlock_291_486,jetty.Password.main_BasicBlock_283_109,jetty.Password.main_BasicBlock_291_444,jetty.Credential.checkChar_BasicBlock_84_0,jetty.Credential.stringEquals_BasicBlock_97_29,jetty.Password.main_BasicBlock_319_939,jetty.Password.main_BasicBlock_304_987,jetty.Password.main_BasicBlock_280_59,jetty.Credential.checkChar_BasicBlock_84_29,jetty.Password.main_BasicBlock_285_179,jetty.Password.main_BasicBlock_294_597,jetty.Credential.stringEquals_BasicBlock_95_0,jetty.Password.main_BasicBlock_294_555,jetty.Credential.stringEquals_BasicBlock_107_190,jetty.Password.main_BasicBlock_294_512,jetty.Password.main_BasicBlock_294_637
1,1,100,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,635,1,min(3.0;y),1,1,1,min(3.0;y),1,1,1,800,1,min(3.0;y),1,min(1.0;y),1,1,min(3.0;y),1,1,1,1,1,1,1
2,2,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(14.0;y),0,1,0,min(14.0;y),0,1,0,0,0,min(14.0;y),1,1,1,0,min(14.0;y),0,0,1,0,1,0,0
3,3,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(12.0;y),0,1,0,min(12.0;y),0,1,0,0,0,min(12.0;y),1,1,1,0,min(12.0;y),0,0,1,0,1,0,0
4,4,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(15.0;y),0,1,0,min(15.0;y),0,1,0,0,0,min(15.0;y),1,1,1,0,min(15.0;y),0,0,1,0,1,0,0
5,5,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(11.0;y),0,1,0,min(11.0;y),0,1,0,0,0,min(11.0;y),1,1,1,0,min(11.0;y),0,0,1,0,1,0,0
6,3,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(12.0;y),0,1,0,min(12.0;y),0,1,0,0,0,min(12.0;y),1,1,1,0,min(12.0;y),0,0,1,0,1,0,0
7,2,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(14.0;y),0,1,0,min(14.0;y),0,1,0,0,0,min(14.0;y),1,1,1,0,min(14.0;y),0,0,1,0,1,0,0
8,11,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(9.0;y),0,1,0,min(9.0;y),0,1,0,0,0,min(9.0;y),1,1,1,0,min(9.0;y),0,0,1,0,1,0,0
9,4,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(15.0;y),0,1,0,min(15.0;y),0,1,0,0,0,min(15.0;y),1,1,1,0,min(15.0;y),0,0,1,0,1,0,0
10,8,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(20.0;y),0,1,0,min(20.0;y),0,1,0,0,0,min(20.0;y),1,1,1,0,min(20.0;y),0,0,1,0,1,0,0
11,12,100,0,0,0,0,1,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,min(6.0;y),0,1,0,min(6.0;y),0,1,0,0,0,min(6.0;y),1,1,1,0,min(6.0;y),0,0,1,0,1,0,0
