id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119
1,95099.6,7496.7,7490.1,7431.3,7303.5,7353.3,7298.6,7419.3,7445.1,7294.2,7666.0,7512.8,7471.0,7588.7,7543.9,7307.4,7392.7,7435.5,7377.2,7301.2,7483.6,7661.0,7336.3,7558.9,7638.4,7384.1,7465.7,7489.4,7526.1,7463.2,7461.4,7626.7,8150.5,8097.7,7762.4,7542.2,7839.7,7661.9,7624.9,7662.4,7681.7,7841.4,7723.7,7795.6,8119.4,7704.1,7621.3,7903.4,7781.0,7596.2,7884.3,7581.6,7484.7,7895.2,7650.7,7734.4,7702.5,7996.5,7980.8,7698.6,7743.5,7946.2,7922.7,8304.7,7907.3,8079.4,7973.4,7920.6,7900.0,8139.2,8093.9,7940.4,8002.0,7920.3,7822.9,7825.7,7747.9,8145.4,8028.8,7859.7,8255.6,8203.1,8179.3,8227.0,7948.8,7962.7,8026.6,7821.5,7855.6,8176.4,8004.1,7992.1,8110.3,8259.7,8267.2,8194.7,8248.1,7954.5,8147.3,7980.6,7950.1,8285.6,7951.9,7885.2,7866.4,8355.3,7886.4,7996.5,7956.0,7802.6,7895.5,7974.4,8314.6,7897.7,7678.3,7907.3,8017.6,8261.7,7932.6,8001.9
2,6285940.4,6275515.4,6269602.7,6289999.4,6356910.1,6362047.1,6161616.9,6164309.0,6161888.4,6191013.1,6162381.6,6196291.2,5788574.0,5794051.2,5806293.5,5804663.1,5789203.2,5811002.4,6522317.3,6522852.1,6546726.4,6540368.3,6540243.1,6546054.2,6427300.4,7313326.1,6454936.0,6442605.5,7314803.7,7297736.3,7168374.0,7223227.4,7198454.3,7215883.1,7196601.7,7161327.2,7008784.5,7017020.6,7017285.3,7052311.0,7050787.0,7047755.8,7790313.3,7854481.5,7863204.6,7831989.5,7816453.5,7865965.8,7777830.1,7749719.8,7742107.6,7722958.5,7703355.3,7729954.3,8501000.6,7566886.8,8496819.6,8500390.0,7576385.3,7579840.8,8418249.7,8306883.4,8390120.3,8316473.6,8373349.5,8407911.2,9135850.9,9214985.9,9095708.6,9107741.1,9142376.1,9131906.6,1.55149223E7,1.54091007E7,1.54831195E7,1.53918129E7,1.54601977E7,1.54150796E7,1.54584009E7,1.54327478E7,1.5381714E7,1.53568456E7,1.54555681E7,1.53240173E7,1.6113478E7,1.5283351E7,1.53140935E7,1.52870589E7,1.52755968E7,1.52893781E7,1.61212464E7,1.60794257E7,1.62288799E7,1.60748807E7,1.60959641E7,1.59969601E7,1.70292392E7,1.70118626E7,1.71322958E7,1.70803402E7,1.70854318E7,1.71313061E7,1.60108783E7,1.6079881E7,1.60997463E7,1.60134129E7,1.60790296E7,1.61685357E7,1.6868656E7,1.70633827E7,1.69080607E7,1.68423153E7,1.70054294E7,1.68528901E7,1.76779468E7,1.68365373E7,1.68096162E7,1.69020626E7,1.76072041E7,1.68525503E7
3,8180526.3,8176802.7,8184636.9,8268301.6,8183164.5,8280018.9,8199290.8,8190860.3,8212212.7,8210469.7,8198131.3,8181530.3,8806723.7,8788806.4,8783704.8,8788312.1,8819266.2,8800626.7,8750283.8,8759245.3,8768424.2,8773555.7,8765876.3,8769087.8,8704555.4,8767577.2,8667510.9,8701751.1,8674634.7,8755323.8,8650484.4,8684089.8,8698324.3,8711030.3,8657145.2,8636088.0,8608014.3,8681637.9,8620560.8,8614436.9,8638230.3,8638974.9,8671600.9,8700582.7,8685541.9,8680949.7,8665409.2,8710392.9,8661170.0,8630660.2,8621655.7,8686350.3,8647315.0,8624864.3,8533318.4,8537365.5,8584914.1,8553793.7,8583135.9,8531314.7,9378285.5,9526865.2,9519143.4,9467939.5,9494449.3,9508934.5,1.86299541E7,1.8562619E7,1.85508751E7,1.85614076E7,1.86032447E7,1.86377958E7,1.85450438E7,1.86390567E7,1.8544346E7,1.86657889E7,1.86708074E7,1.85991483E7,1.85730494E7,1.85663709E7,1.86289041E7,1.85943517E7,1.85624497E7,1.85841058E7,1.87349212E7,1.88991247E7,1.87785444E7,1.87565567E7,1.87195176E7,1.87748945E7,1.88525437E7,1.87714664E7,1.88311532E7,1.87721857E7,1.8751249E7,1.87530692E7,1.8835021E7,1.87953639E7,1.87933792E7,1.88421974E7,1.89018751E7,1.89099376E7,1.88152144E7,1.87791725E7,1.88227016E7,1.87996795E7,1.88703128E7,1.88574676E7,1.88541617E7,1.88275971E7,1.88371619E7,1.88476426E7,1.88366423E7,1.888345E7,1.88415795E7,1.88319181E7,1.8973629E7,1.8874836E7,1.88981565E7,1.88951604E7
4,8228526.9,8222339.6,8230926.9,8228108.5,8203733.0,8233843.6,8162978.3,8163636.1,8201448.3,8162935.9,8244142.0,8197033.8,8910996.8,8903705.1,8913980.9,8900077.1,8883416.4,8901383.9,8920224.0,8875981.9,8940226.8,8931503.5,8928724.6,8909223.3,8903900.7,8859851.1,8849619.6,8896092.3,8910253.5,8882777.4,8919414.1,8920084.3,8886270.4,8877110.1,8896882.5,8844975.9,9008263.6,8892881.3,8982652.5,8988585.5,8913001.4,9004686.0,8963858.1,9029089.1,8982432.2,8971378.4,8975357.8,8980010.4,8964342.2,8975730.7,8939564.0,8966581.6,8982876.6,9002581.7,8894512.1,8965205.5,8930800.9,8912836.9,8904581.7,8921557.2,1.80186887E7,1.80605043E7,1.80330635E7,1.8063226E7,1.80104197E7,1.80640126E7,1.80730596E7,1.79993037E7,1.80771827E7,1.81399588E7,1.80637133E7,1.81163561E7,1.80839883E7,1.81261428E7,1.81032333E7,1.81187396E7,1.81329489E7,1.81292959E7,1.81459452E7,1.82156419E7,1.83760004E7,1.81412545E7,1.81876122E7,1.8198174E7,1.84750453E7,1.92679615E7,1.92742E7,1.84099323E7,1.92491543E7,1.8420137E7,1.93479021E7,1.93356481E7,1.9287648E7,1.85020983E7,1.93574768E7,1.93470366E7,1.93571746E7,1.93858576E7,1.94598365E7,1.94530722E7,1.9398152E7,1.93727388E7,1.95335378E7,1.94806771E7,1.93962307E7,1.94627591E7,1.94978907E7,1.95051396E7,1.94747743E7,1.95856939E7,1.94893704E7,1.95961371E7,1.95147182E7,1.95389082E7,1.95408314E7,1.97128853E7,1.95635362E7,1.95511833E7,1.92704001E7,1.96542652E7
5,8278985.5,8260013.6,8231805.2,8251325.6,8270838.7,8257224.0,8204303.6,8200905.6,8229459.3,8208358.7,8109119.2,8217252.6,8978452.9,8963293.7,8975227.3,8963105.4,8954635.5,8958671.7,8978662.8,8981083.2,8990732.1,8984379.0,8943049.3,8956193.6,8972991.1,8979899.8,8999542.2,8996524.2,8999716.0,8989009.9,9042486.9,9011373.7,8968343.4,8987062.0,9005875.9,8994243.1,9063688.4,9072237.6,9128809.2,9090522.8,9112408.0,9124122.8,9130054.5,9107196.3,9134513.3,9155824.0,9138489.2,9095040.5,9110545.7,9117654.8,9053411.7,9161054.4,9101944.2,9128186.4,9065894.1,9121876.9,9117543.5,9100673.0,9061752.2,9100205.3,1.82487392E7,1.82359653E7,1.82571421E7,1.82515715E7,1.82675823E7,1.8275673E7,1.83376123E7,1.83154322E7,1.83311164E7,1.83001794E7,1.83290682E7,1.83448283E7,1.83786921E7,1.83613332E7,1.83992537E7,1.84196715E7,1.834706E7,1.83488555E7,1.8628711E7,1.85730471E7,1.85622823E7,1.85853117E7,1.86137886E7,1.85989711E7,1.86549653E7,1.86385142E7,1.862684E7,1.86476839E7,1.86715561E7,1.86393237E7,1.87144047E7,1.87703922E7,1.87113388E7,1.87545676E7,1.87503485E7,1.8714222E7,1.88567621E7,1.88240167E7,1.88112479E7,1.87946635E7,1.88385265E7,1.87966725E7,1.90371954E7,1.90542076E7,1.89054036E7,1.88546217E7,1.88883335E7,1.88850101E7,1.89705989E7,1.90226535E7,1.89716581E7,1.88944896E7,1.89774943E7,1.89502101E7,1.89460763E7,1.89344761E7,1.89460755E7,1.89454881E7,1.86577534E7,1.89410717E7
6,8286983.1,8302077.1,8281205.1,8282792.9,8295505.1,8309808.7,8160932.9,8143307.7,8158857.8,8149406.5,8143239.9,8144008.6,9021693.7,9019438.3,9037126.8,9066688.4,9106259.9,9093353.4,9062870.4,9069030.1,9037005.2,9021728.7,9024848.8,9017815.0,9067395.7,9064597.8,9049610.8,9068624.2,9088180.7,9073795.8,9100401.6,9067465.7,9142478.0,9090193.3,9067745.4,9130803.5,9221285.5,9172557.4,9181001.2,9162066.2,9059508.5,9148173.2,9201832.1,9237295.1,9222174.7,9211158.4,9295018.9,9237747.1,9249902.6,9215467.0,9286959.6,9306493.0,9215224.4,9240896.2,9197803.2,9225070.5,9192143.8,9239195.8,9222549.5,9241418.0,1.84133767E7,1.84204241E7,1.83987548E7,1.83886943E7,1.83670765E7,1.83829613E7,1.84678833E7,1.84206886E7,1.84350731E7,1.84200774E7,1.84873769E7,1.84927047E7,1.85675391E7,1.85382828E7,1.8491751E7,1.85053993E7,1.86241711E7,1.84570686E7,1.87661823E7,1.88020338E7,1.87472454E7,1.87035894E7,1.87845683E7,1.8738532E7,1.88947224E7,1.88403264E7,1.88842814E7,1.88101298E7,1.87585796E7,1.89531054E7,1.88828119E7,1.89575644E7,1.88896722E7,1.88606506E7,1.89112522E7,1.8904081E7,1.90279358E7,1.90198595E7,1.89638931E7,1.90210042E7,1.91175931E7,1.89995236E7,1.90393328E7,1.91228819E7,1.90386761E7,1.92294089E7,1.88038937E7,1.9101898E7,1.91765476E7,1.91515515E7,1.91738458E7,1.92727765E7,1.9210783E7,1.91682904E7,1.92501626E7,1.92236665E7,1.91937148E7,1.91950762E7,1.8883022E7,1.9200113E7
7,8293627.9,8289970.5,8320820.4,8340327.7,8289806.1,8369365.2,8169426.6,8259230.5,8180498.3,8163563.7,8206576.9,8178413.6,9105817.1,9017236.5,9058557.8,9044702.0,9061766.5,9117720.6,9113551.7,9090330.5,9120274.9,9064165.2,9098469.2,9059318.2,9162759.3,9125243.0,9099835.2,9090625.5,9123387.0,9083887.5,9204124.2,9115792.6,9123042.3,9115941.2,9140935.4,9101100.0,9295720.4,9267675.9,9300743.5,9330498.4,9125849.9,9287710.7,9356773.7,9289923.4,9301963.8,9298881.2,9295959.8,9302476.4,9330006.6,9362247.9,9315379.9,9330231.5,9348653.7,9294319.5,9282132.6,9337397.8,9256914.3,9320293.4,9416272.9,9282787.4,1.84488419E7,1.84915489E7,1.8540925E7,1.8491314E7,1.84750398E7,1.84768093E7,1.85513768E7,1.8602031E7,1.86179329E7,1.85959321E7,1.85345679E7,1.85720704E7,1.86724292E7,1.86340349E7,1.86168868E7,1.8651833E7,1.86318587E7,1.86302134E7,1.88386962E7,1.88907152E7,1.8875791E7,1.88774298E7,1.88874254E7,1.8821593E7,1.89895272E7,1.89821452E7,1.9012579E7,1.89247864E7,1.89401677E7,1.89289295E7,1.9013712E7,1.90472093E7,1.90114773E7,1.89902581E7,1.90247891E7,1.90469604E7,1.91872225E7,1.91794097E7,1.90925604E7,1.91534652E7,1.92375339E7,1.9184244E7,1.92200332E7,1.9181797E7,1.92047937E7,1.93496946E7,1.92218853E7,1.92207252E7,1.934247E7,1.9315909E7,1.94476992E7,1.93450469E7,1.93546198E7,1.93133909E7,1.93408754E7,1.93219738E7,1.94031097E7,1.93196346E7,1.91559103E7,1.93178562E7
8,8339756.9,8358402.1,8321108.3,8355617.8,8347679.2,8386789.8,8236891.5,8238874.8,8225930.3,8209621.9,8263547.0,8218426.1,9126802.0,9124733.1,9132772.4,9078466.3,9121148.5,9146861.8,9100272.4,9219955.9,9178575.7,9136828.1,9184702.2,9115708.5,9231267.8,9146992.2,9194784.8,9135370.9,9256860.5,9204069.3,9193550.0,9248168.9,9207734.9,9197583.1,9158757.3,9200089.0,9338463.6,9326186.0,9333755.0,9283428.6,9231618.5,9288584.9,9422978.7,9343830.3,9387426.5,9391509.5,9312689.9,9322982.4,9403855.5,9436021.0,9427122.0,9381626.9,9410832.5,9412128.1,9389428.8,9388418.5,9436737.8,9376419.6,9369795.9,9418070.9,1.85808747E7,1.85464389E7,1.85880447E7,1.85947155E7,1.86508221E7,1.85124591E7,1.86756828E7,1.8658491E7,1.86401242E7,1.85866147E7,1.86058264E7,1.86240324E7,1.89213865E7,1.87005035E7,1.87519665E7,1.87109371E7,1.86962782E7,1.87091813E7,1.89594553E7,1.89303907E7,1.90049899E7,1.88957123E7,1.89616784E7,1.89531528E7,1.91845404E7,1.89903072E7,1.90280072E7,1.90991643E7,1.90557455E7,1.90047645E7,1.9164183E7,1.91149838E7,1.91275013E7,1.90989534E7,1.91331317E7,1.91994455E7,1.92462274E7,1.93401999E7,1.92366111E7,1.92601126E7,1.92911515E7,1.92809653E7,1.93562297E7,1.93867482E7,1.94077891E7,1.93449905E7,1.94332264E7,1.94125263E7,1.94634094E7,1.95326327E7,1.93702147E7,1.94819436E7,1.94562197E7,1.93904841E7,1.94489782E7,1.94903078E7,1.9447657E7,1.94618228E7,1.94786236E7,1.95272915E7
9,8365848.0,8359053.8,8362158.1,8329537.3,8396157.6,8345793.7,8208938.3,8212786.5,8251592.6,8229271.0,8252309.9,8232595.1,9116825.3,9111823.8,9146794.0,9105297.4,9104263.3,9161208.3,9195963.2,9209659.8,9223362.4,9169830.5,9195072.2,9184736.0,9172984.7,9146649.6,9186994.7,9198215.8,9180208.6,9180009.3,9263827.9,9231243.4,9227004.8,9223397.0,9296339.4,9165296.5,9350652.6,9346449.3,9410117.3,9419324.6,9245881.2,9357159.9,9407663.8,9368458.9,9458490.3,9393906.9,9368861.9,9374743.5,9426111.0,9426278.6,9440910.7,9466744.0,9514873.2,9434056.7,9458045.3,9431040.9,9405227.8,9496412.0,9463371.7,9471210.1,1.86433005E7,1.85730924E7,1.8653452E7,1.86653393E7,1.86337291E7,1.86019924E7,1.86943861E7,1.86841697E7,1.86891653E7,1.86263343E7,1.87070861E7,1.86626087E7,1.87648025E7,1.87917506E7,1.88002358E7,1.87723622E7,1.87978998E7,1.87330242E7,1.90827045E7,1.9041689E7,1.90348902E7,1.90704327E7,1.91070514E7,1.89624826E7,1.91847932E7,1.9084566E7,1.91148424E7,1.91175246E7,1.90921917E7,1.91064416E7,1.92369016E7,1.92372458E7,1.91712146E7,1.924841E7,1.91888432E7,1.92685522E7,1.93324059E7,1.937114E7,1.93555852E7,1.94029693E7,1.93439773E7,1.93380726E7,1.94974699E7,1.94262081E7,1.94217376E7,1.94693862E7,1.94606583E7,1.94356802E7,1.94718262E7,1.95048252E7,1.9505999E7,1.94893582E7,1.92448449E7,1.96412236E7,1.9639399E7,1.96045456E7,1.96050778E7,1.95921623E7,1.95630019E7,1.9607513E7
10,8414436.7,8429078.0,8342556.5,8410400.2,8409197.0,8427300.9,8248992.8,8261821.9,8363768.1,8244147.6,8342411.2,8279032.6,9154556.6,9142192.9,9139287.1,9157688.2,9179428.9,9240208.5,9218470.9,9220189.3,9160206.4,9160014.5,9266101.6,9190682.4,9320156.5,9228356.2,9208693.6,9232840.4,9206792.6,9237731.5,9228316.5,9283678.0,9324771.0,9277299.5,9309476.1,9244086.0,9393221.8,9382803.3,9401598.1,9379732.5,9408227.7,9387168.0,9453392.3,9487821.2,9454641.8,9440200.3,9483316.1,9427079.4,9433085.7,9523304.2,9536683.7,9576931.5,9516092.6,9548460.7,9453597.2,9485305.0,9474805.0,9533616.7,9481192.3,9508845.5,1.87104116E7,1.86579007E7,1.87892408E7,1.87922818E7,1.86977266E7,1.86542171E7,1.88036579E7,1.8793523E7,1.87297013E7,1.87685734E7,1.87298089E7,1.87236286E7,1.88576869E7,1.90084145E7,1.88116175E7,1.88053663E7,1.8835043E7,1.89118321E7,1.90765877E7,1.91711768E7,1.90796682E7,1.90227891E7,1.90655378E7,1.90713346E7,1.91998297E7,1.91545313E7,1.92253904E7,1.92186982E7,1.9317968E7,1.92110366E7,1.93272586E7,1.92803179E7,1.93080934E7,1.92721199E7,1.92844888E7,1.93182661E7,1.94085552E7,1.93610522E7,1.93844153E7,1.93794179E7,1.9414444E7,1.94131403E7,1.9541126E7,1.95260326E7,1.95374809E7,1.9510505E7,1.95388752E7,1.95397571E7,1.95412909E7,1.95604613E7,1.97302979E7,1.96684506E7,1.96690494E7,1.96996773E7,1.96593788E7,1.97385622E7,1.96696835E7,1.97824549E7,1.96548816E7,1.9710057E7
