id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24
1,1097,1098,1097,1097,1098,1102,1098,1099,1097,1099,2098,2100,2124,2099,2099,3098,3126,3101,3098,3099,4101,4100,4119,4098,4135
2,2154,2154,2156,2153,2156,2153,2157,2149,2156,2152,4152,4221,4154,4152,4155,6155,6161,6171,6154,6155,8154,8154,8153,8155,8163
3,3208,3207,3209,3249,3211,3208,3209,3208,3209,3207,6208,6283,6207,6208,6209,9210,9235,9211,9211,9252,12234,12212,12252,12254,12215
4,4302,4303,4288,4318,4351,4308,4308,4308,4288,4308,8304,8306,8321,8344,8309,12281,12307,12308,12289,12304,16290,16281,16304,16348,16307
5,5400,5397,5404,5368,5405,5367,5403,5403,5403,5366,10399,10400,10368,10441,10410,15400,15402,15404,15401,15432,20440,20403,20403,20402,20385
6,6498,6447,6449,6446,6460,6453,6509,6444,6504,6477,12471,12521,12498,12474,12483,18497,18496,18495,18502,18448,24494,24497,24496,24605,24502
7,7594,7526,7590,7525,7594,7529,7537,7588,7528,7591,14528,14595,14525,14637,14526,21612,21594,21606,21600,21703,28605,28529,28590,28578,28601
8,8684,8613,8605,8566,8684,8606,8605,8686,8689,8688,16685,16569,16688,16606,16691,24684,24606,24688,24612,24690,32692,32691,32692,32941,32608
9,9780,9787,9686,9784,9784,9685,9637,9770,9781,9686,18780,18789,18786,18761,18782,27761,27784,27785,27684,27787,36787,36796,36810,36783,36787
10,10766,10882,10895,10883,10882,10762,10953,10762,10881,10878,20879,20764,20764,20883,20888,30881,30876,30877,30881,30882,40879,40879,40994,40770,40996
11,12017,11840,11845,11975,11977,11842,11850,11973,11972,11975,22972,22850,22978,22975,22922,33836,33974,33975,34028,33921,44973,44854,44976,44978,45020
12,13072,13016,13073,13073,13071,12928,13071,12922,13074,13068,25065,24924,24996,25035,25076,37068,37061,37084,37071,37005,49070,49078,48934,49064,49071
13,14173,13940,14172,14165,14171,14009,14166,14170,14325,14172,27169,27167,27079,27165,27177,40001,40163,40149,40008,40001,53000,53003,53172,53174,53164
