id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99
1,4.472,4.613,4.446,4.32,4.65,4.834,4.496,4.508,4.328,4.322,1101.136,1103.687,1100.341,1100.301,1100.036,2101.655,2102.78,2102.865,2101.753,2101.484,3100.742,3102.258,3100.908,3101.261,3101.382,3101.362,3102.575,3101.332,3101.627,3104.298,4113.076,4101.021,4103.101,4102.076,4102.404,5102.374,5103.742,5101.051,5104.682,5102.704,6100.589,6101.644,6112.855,6101.922,6103.597,7139.387,7100.347,7101.213,7099.46,7103.173,8101.143,8110.049,8105.686,8100.768,8134.488,8102.917,8100.42,8101.073,8102.517,8101.687,9102.68,9136.683,9100.056,9101.763,9102.434,10102.764,10103.772,10126.679,10138.828,10101.639,11121.743,11100.925,11102.536,11102.258,11112.444,12102.196,12102.337,12106.055,12137.941,12135.229,13175.403,13112.738,13113.75,13210.509,13114.454,14116.985,14120.44,14133.072,14106.471,14131.466,14104.451,14136.074,14101.148,14123.22,14133.152,15115.976,15115.988,15142.256,15101.514,15105.443
2,4.368,4.36,4.523,4.303,4.403,4.343,4.192,4.31,4.323,4.47,2156.06,2158.04,2156.06,2155.572,2198.057,4154.536,4189.771,4156.694,4156.732,4158.15,6156.158,6157.223,6158.378,6158.035,6156.612,6207.642,6158.754,6159.187,6154.481,6157.308,8155.655,8158.857,8159.556,8154.725,8155.91,10159.431,10157.331,10158.646,10158.641,10156.717,12156.752,12191.325,12158.533,12233.146,12155.334,14161.267,14159.842,14194.702,14158.217,14157.383,16156.471,16234.381,16156.694,16159.282,16237.688,16163.362,16159.884,16156.662,16157.9,16158.035,18158.303,18158.356,18156.746,18158.418,18159.656,20163.986,20208.879,20156.902,20236.91,20193.584,22157.802,22204.732,22209.516,22220.288,22237.954,24156.626,24158.075,24189.863,24188.036,24233.351,29011.664,26922.375,26228.493,26185.799,26198.719,28211.032,28244.73,28203.758,28209.526,28214.089,28196.739,28156.07,28229.989,28201.044,28239.649,30234.344,30197.268,30160.199,30193.422,30187.863
3,4.46,4.22,4.147,4.392,4.32,4.385,4.371,4.553,4.523,4.365,3211.273,3211.11,3210.458,3213.402,3222.369,6222.902,6263.734,6210.353,6211.243,6234.56,9210.859,9229.362,9211.847,9211.771,9214.162,9209.704,9213.53,9212.027,9213.079,9212.067,12214.36,12263.942,12211.444,12210.032,12211.992,15221.955,15212.598,15210.546,15217.327,15212.758,18217.134,18215.502,18210.579,18287.939,18211.103,21221.907,21211.233,21254.262,21212.53,21215.745,24212.573,24211.556,24212.927,24213.863,24269.552,24214.217,24210.647,24210.802,24231.184,24266.328,27253.989,27343.433,27211.909,27287.321,27212.556,30253.691,30258.509,30213.287,30333.044,30255.989,33213.691,33212.104,33216.808,33213.022,33212.315,36212.971,36213.946,36273.714,36289.526,36278.535,39290.641,39285.013,39290.5,39260.458,39315.398,42291.936,42357.778,42265.994,42245.955,42314.664,42329.225,42286.379,42310.707,42274.603,42277.438,45217.452,45314.496,45247.276,45295.073,45320.457
4,4.273,4.523,4.35,4.478,4.298,4.348,4.56,4.338,4.203,4.706,4292.18,4307.959,4290.972,4311.668,4313.434,8309.721,8344.706,8312.68,8308.072,8309.713,12310.324,12309.512,12304.771,12310.51,12292.207,12306.01,12307.954,12306.45,12289.694,12349.833,16348.099,16293.11,16316.057,16309.244,16308.961,20310.174,20307.933,20309.169,20308.144,20309.355,24291.962,24309.296,24365.654,24308.374,24351.113,28308.474,28308.119,28429.046,28307.161,28309.86,32348.633,32309.768,32308.755,32307.71,32307.878,32352.127,32307.141,32308.978,32312.499,32352.892,36299.101,36310.915,36427.45,36349.208,36308.941,40400.029,40308.199,40428.279,40394.957,40306.7,44321.382,44310.358,44395.109,44311.604,44307.79,48423.941,48313.21,48364.631,48315.34,48365.729,52379.824,52370.237,52363.96,52384.367,52345.397,56347.126,56373.043,56340.18,56367.849,56334.847,56399.314,56422.873,56301.684,56339.894,56383.327,60339.957,60426.793,60376.355,60351.602,60351.501
5,4.576,4.468,4.375,4.28,4.601,4.487,4.468,4.32,4.553,4.165,5402.016,5401.086,5403.101,5372.731,5369.017,10446.095,10402.229,10355.486,10403.82,10403.512,15402.825,15411.009,15400.863,15370.676,15372.864,15409.713,15402.494,15403.294,15405.392,15372.13,20402.364,20406.334,20403.639,20407.075,20369.962,25371.876,25406.135,25404.048,25404.817,25376.723,30404.411,30406.649,30520.585,30443.499,30374.104,35500.53,35446.296,35434.005,35406.925,35406.566,40408.44,40398.159,40408.335,40404.01,40402.033,40408.659,40446.956,40402.319,40523.102,40372.994,45372.352,45407.794,45446.195,45406.365,45450.159,50522.602,50409.307,50409.104,50332.838,50404.774,55406.763,55449.172,55523.042,55404.471,55425.645,60447.009,60405.789,60445.591,61196.465,60587.526,65446.987,65462.736,65469.867,65804.349,65439.284,70479.473,70415.315,70457.301,70501.201,70473.961,70483.576,70421.906,70476.499,70401.08,70411.755,75505.952,75444.315,75435.73,75804.901,75523.639
6,4.385,4.465,4.402,4.428,4.322,4.483,4.272,4.383,4.347,4.571,6447.484,6497.797,6450.473,6455.675,6499.837,12498.12,12451.78,12500.987,12449.36,12519.986,18498.905,18497.689,18498.787,18451.638,18475.351,18500.286,18448.784,18499.496,18505.67,18498.501,24498.621,24502.467,24450.458,24498.511,24500.115,30503.229,30500.56,30501.468,30618.165,30500.097,36500.546,36623.818,36558.006,36499.193,36539.604,42504.054,42470.366,42543.627,42502.092,42505.542,48505.76,48503.122,48498.501,48502.758,48522.816,48502.64,48502.442,48544.374,48503.011,48501.656,54500.578,54500.37,54582.735,54546.035,54504.945,60454.23,60504.504,60500.756,60546.646,60504.893,66478.619,66482.208,66500.365,66502.903,66541.961,72501.336,72505.083,72559.706,72528.84,72531.679,78523.615,78507.624,78529.091,78509.769,78516.89,84532.529,84489.457,84504.198,84564.224,84512.388,84538.324,84608.511,84550.1,84588.726,84583.629,90499.306,90520.486,90468.734,90534.683,90518.884
7,4.482,4.646,4.506,4.471,4.616,4.646,4.315,4.396,4.478,4.388,7528.247,7528.824,7595.616,7594.936,7593.252,14646.256,14531.062,14596.021,14562.208,14594.696,21598.271,21594.244,21529.585,21595.608,21595.179,21531.184,21595.187,21678.777,21596.933,21595.425,28583.232,28529.545,28594.312,28595.447,28599.151,35530.816,35595.277,35597.088,35598.05,35638.451,42599.597,42597.868,42595.384,42598.045,42598.903,49607.272,49640.877,49689.054,49601.754,49601.388,56597.449,56557.685,56543.733,56600.01,56836.271,56774.676,56599.457,56596.239,56605.706,56532.448,63549.077,63598.792,63602.06,63600.829,63606.786,70598.837,70603.455,70598.393,70702.471,70606.086,77598.037,77604.272,77755.7,77713.201,77678.789,84593.264,84720.714,85257,84611.85,84587.155,91620.672,91583.581,91825.277,91633.615,91562.896,103286.35,98601.132,98541.439,98635.8,98579.111,98602.768,98592.61,98493.949,98596.998,98575.167,105533.292,105613.114,105591.266,105562.806,105614.029
8,4.062,4.45,4.283,4.515,4.455,4.523,4.343,4.405,4.337,4.318,8689.636,8695.559,8608.746,8689.976,8672.015,16607.217,16693.873,16607.205,16691.998,16693.156,24732.025,24695.564,24692.407,24691.339,24572.312,24660.085,24675.302,24608.723,24693.905,24635.741,32609.888,32611.059,32666.161,32690.189,32691.276,40694.408,40655.902,40695.13,40695.746,40692.87,48739.886,48793.901,48806.134,48693.453,48690.555,56692.339,56724.673,56693.724,56694.727,56698.765,64609.757,64685.402,64608.896,64696.673,64691.356,64735.7,64709.673,64697.144,64694.608,64695.515,72896.024,72698.688,72736.151,72692.699,72664.534,80669.834,80815.848,80702.562,80611.018,80613.746,88609.8,88688.742,88709.166,88813.182,88707.19,96819.444,96696.222,96713.882,96714.649,99142.224,109846.378,104648.949,106038.831,104662.899,104633.314,112712.602,112814.665,112746.645,112726.944,112738.288,112709.782,112625.733,112698.406,112643.655,112667.405,120699.677,120708.416,120644.241,120604.903,120702.373
9,4.471,4.428,4.36,4.438,4.415,4.588,4.353,4.391,4.35,4.416,9686.804,9778.203,9790.235,9693.218,9782.069,18789.308,18793.764,18895.062,18789.586,18787.998,27750.396,27829.436,27776.007,27786.644,27787.06,27785.567,27689.126,27699.456,27793.748,27907.927,36687.738,36792.357,36794.044,36785.449,36786.285,45784.725,45789.253,45795.239,45811.1,45794.608,54791.262,54690.597,54693.583,54793.389,54789.35,63793.87,63904.606,63689.158,63691.729,63792.998,72739.72,72790.026,72837.519,72792.803,72906.147,72843.001,72792.144,72698.923,72747.629,72775.628,81646.249,81692.915,81790.948,81792.447,81768.439,90791.963,90771.703,90832.006,90763.65,90792.236,99831.148,99913.268,99763.707,99829.126,99789.597,108803.219,108803.89,108771.704,108795.523,108759.846,117735.264,117765.216,117730.2,117712.764,117748.948,126774.559,126845.902,126815.216,126734.216,126780.518,126812.768,126809.974,126816.934,126636.658,126728.004,135692.873,135822.615,135770.959,135713.418,135735.422
10,4.298,4.22,4.541,4.436,4.315,4.288,4.655,4.28,4.543,4.343,10934.744,10879.617,10766.949,10770.743,10885.929,20880.741,20885.718,20841.716,20833.612,20884.049,30884.448,30884.74,30927.425,30766.14,30769.194,30882.029,30759.296,30887.072,30892.792,30891.341,40887.862,40878.617,40881.974,40888.863,40885.382,50896.176,50888.161,50770.62,50889.431,50768.485,60931.491,60928.97,60890.333,60607.509,60772.434,70886.013,70976.371,70892.661,70865.258,71012.806,80779.913,80832.998,80886.469,80931.906,80767.878,80930.688,80888.496,80984.749,80884.795,80798.385,90783.19,90887.04,90899.712,90881.555,90891.856,100955.506,100771.443,100887.185,101007.328,100929.691,110773.698,110847.488,111012.332,110895.281,110932.226,120900.345,120886.884,120844.869,120849.998,120829.238,131437.736,141227.681,131962.133,130811.938,130803.762,140772.826,140842.995,145255.57,140868.935,140893.392,140887.585,140860.753,140966.39,140822.001,140773.457,150826.459,150892.411,150839.975,150984.166,150900.304
