id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130,feature131,feature132,feature133,feature134,feature135,feature136,feature137,feature138,feature139,feature140,feature141,feature142,feature143,feature144,feature145,feature146,feature147,feature148,feature149,feature150,feature151,feature152,feature153,feature154,feature155,feature156,feature157,feature158,feature159,feature160,feature161,feature162,feature163,feature164,feature165,feature166,feature167,feature168,feature169,feature170,feature171,feature172,feature173,feature174,feature175,feature176,feature177,feature178,feature179,feature180,feature181,feature182,feature183,feature184,feature185,feature186,feature187,feature188,feature189,feature190,feature191,feature192,feature193,feature194,feature195,feature196,feature197,feature198,feature199
1,4.503,4.491,4.836,4.34,4.638,4.651,4.536,4.483,4.345,4.776,1097.911,1128.733,1101.171,1104.444,1107.448,2133.824,2102.179,2101.281,2097.902,2106.691,3133.26,3128.426,3138.239,3124.931,3109.435,3141.02,3148.991,3101.271,3104.972,3102.156,4098.538,4114.199,4136.693,4099.806,4103.968,5097.829,5135.127,5099.121,5116.454,5099.282,6098.387,6097.961,6105.782,6099.149,6123.455,7126.787,7100.65,7137.367,7157.08,7131.716,9142.241,8106.161,8107.48,8100.299,8133.849,8099.335,8103.399,8099.389,8099.547,8104.907,9138.881,9097.788,9098.034,9100.81,9098.931,10099.013,10101.374,10120.15,10107.551,10100.502,11124.395,11133.3,11098.585,11099.289,11094.681,12100.993,12099.678,12100.585,12097.488,12100.264,13137.052,13111.963,13142.186,13108.445,13114.459,14129.631,14129.434,14123.119,14108.999,14101.304,14124.793,14099.95,14101.381,14104.223,14099.249,15099.763,15099.449,15144.165,15100.251,15099.063,15100.321,15100.515,15101.071,15107.966,15132.147,16134.44,16132.318,16134.838,16096.172,16101.534,16101.933,16099.881,16117.023,16114.124,16108.749,17098.85,17100.544,17100.713,17122.6,17098.437,18102.338,18100.494,18099.282,18114.303,18126.455,19120.674,19117.794,19119.573,19096.803,19104.073,20141.464,20108.172,20101.674,20103.777,20099.487,21144.423,21101.509,21133.999,21129.764,21115.281,22128.57,22134.806,22142.166,22100.076,22137.404,23096.57,23146.433,23098.886,23130.591,23118.633,24130.508,24100.907,24101.306,24122.275,24101.166,25139.236,25101.201,25103.521,25134.631,25101.78,26100.732,26109.259,26105.626,26134.398,26101.188,26102.263,26101.474,26100.705,26100.745,26101.336,27135.415,27102.459,27100.321,27113.556,27135.641,28101.148,28122.084,28100.975,28101.063,28100.833,28100.298,28105.493,28108.613,28100.744,28099.439,29101.606,29101.216,29100.782,29101.559,29100.773,30101.617,30100.597,30102.562,30101.138,30100.046,31097.217,31099.457,31098.713,31099.509,31102.983
2,4.601,4.548,4.426,4.566,8.397,4.581,4.716,4.408,4.874,4.383,2177.448,2178.523,2155.399,2182.875,2162.896,6529.397,4209.483,4215.162,4215.921,4196.125,6199.282,6153.259,6212.007,6211.88,6191.159,7082.183,6155.05,6164.845,6157.967,6227.212,8214.581,8154.592,8181.6,8187.934,8227.593,10184.288,10197.451,10238.563,10233.254,10224.634,12210.301,12154.733,12223.709,12157.05,12208.572,14197.531,14186.523,14199.897,14183.391,14229.853,16155.647,16197.286,16217.961,16183.855,16211.007,16219.381,16236.185,16154.687,16161.362,16154.655,18155.689,18200.044,18158.844,18159.23,18231.823,20154.84,20203.918,20167.882,20215.81,20167.652,22172.819,22211.779,22219.266,22195.078,22211.064,24221.797,24248.642,24200.498,24156.551,24157.523,26202.563,26173.54,26154.727,26158.498,26157.123,28155.534,28217.028,28226.006,28154.9,28165.7,28165.95,28157.979,28154.644,28156.717,28205.374,30211.283,30157.423,30156.744,30158.155,30155.102,30190.627,30233.133,30158.332,30198.701,30157.506,32198.944,32195.817,32157.245,32155.604,32159.443,32155.569,32153.201,32158.673,32157.844,32166.191,34193.699,34203.4,34191.307,34156.145,34155.631,36268.116,36157.589,36240.184,36224.596,36176.156,38169.779,38157.343,38158.248,38156.508,38157.882,40206.371,40156.501,40158.596,40156.706,40158.583,42157.676,42234.092,42160.825,42159.287,42234.799,44159.575,44158.347,44161.575,44158.22,44159.811,46255.121,46236.205,46156.167,46192.301,46189.685,48156.569,48159.014,48158.545,48233.185,48232.09,50159.15,50160.524,50236.731,50206.266,50158.41,52159.711,52160.889,52232.857,52232.852,52193.489,52157.668,52158.067,52158.633,52159.327,52155.696,54235.56,54159.477,54157.919,54161.494,54207.306,56157.563,56157.039,56159.024,56161.201,56159.62,56156.062,56159.998,56161.402,56158.974,56157.653,58157.621,58159.495,58158.816,58199.094,58209.523,60159.941,60158.959,60221.064,60158.69,60160.633,62157.816,62158.467,62214.825,62221.255,62199.855
3,4.754,4.448,4.639,4.771,4.606,4.706,4.355,4.61,4.691,4.255,3262.466,4952.455,3215.037,3252.51,5573.439,6304.656,6287.807,6279.814,6289.806,6313.146,9209.493,9275.767,9286.745,9291.576,9245.976,9225.6,9262.228,9278.29,9293.525,9317.674,12249.794,12284.098,12322.104,12214.876,12270.422,15297.955,15296.224,15208.559,15284.392,15266.47,18210.662,18342.295,18209.746,18284.863,18262.884,21293.375,27394.333,21272.596,21220.76,21254.37,24260.311,24266.17,24283.301,24284.346,24251.829,24276.12,24255.374,24293.388,24212.764,24306.576,27210.38,27322.098,27321.312,27242.54,27251.017,30212.901,30242.963,30234.779,30283.828,30209.376,33282.607,33211.599,33212.959,33236.23,33211.353,36329.128,36287.744,36210.257,36285.767,36291.21,39277.508,39212.433,39214.104,39215.414,39211.548,42327.606,42210.418,42211.44,42270.842,42213.385,42253.189,42250.225,42282.595,42288.691,42211.137,45211.082,45251.48,45212.816,45253.653,45209.653,45211.947,45260.173,45318.147,45213.553,45213.302,48212.109,48210.422,48211.111,48212.994,48332.544,48212.53,48212.124,48299.403,48251.994,48297.123,51214.522,51211.202,51274.262,51316.338,51211.786,54214.95,54259.092,54295.546,54229.449,54234.363,57345.429,57268.579,57328.007,57272.762,57255.48,60213.815,60215.718,60288.112,60322.719,60252.139,63336.481,63293.861,63255.634,63213.28,63254.81,66217.286,66212.915,66297.396,66223.939,66212.386,69213.189,69215.143,69287.566,69255.632,69216.85,72327.157,72237.019,72216.028,72216.975,72214.549,75214.115,75274.761,75236.249,75212.973,75305.514,78214.782,78212.226,78330.374,78280.351,78335.037,78287.951,78277.73,78274.638,78288.332,78213.597,81218.223,81303.85,81253.898,81227.662,81262.966,84253.632,84221.152,84295.381,84232.285,84216.586,84265.176,84211.452,84215.611,84215.08,84214.388,87245.601,87214.997,87254.928,87255.982,87327.327,90218.819,90216.384,90217.504,90335.944,90277.569,93247.861,93245.229,93217.092,93217.175,93252.609
4,4.478,4.308,4.217,4.631,4.962,4.804,4.583,4.635,4.338,4.698,4364.171,4319.944,4333.089,4304.954,4293.047,8392.444,8322.781,8379.902,8370.595,8360.165,12334.079,12335.41,12322.242,12364.432,12415.805,12392.023,12309.67,12339.046,12306.447,12370.999,16350.073,16374.948,16398.904,16338.607,16412.558,20334.663,20272.945,20375.206,20360.565,20351.199,24306.946,24412.126,24372.646,24357.892,24357.616,28373.888,28304.516,28314.44,28339.616,28419.122,32308.063,32386.284,32404.912,32418.333,32420.599,32291.026,32422.598,32426.172,32384.317,32340.408,36308.542,36306.184,36309.266,36366.927,36385.202,40363.246,40305.465,40370.405,40305.791,40356.425,44369.536,44387.439,44392.714,44375.391,44304.894,48308.314,48422.036,48293.031,48308.732,48300.504,52341.543,52308.261,52364.994,52290.996,52310.726,56393.43,56350.443,56292.896,56308.652,56361.552,56308.71,56305.46,56307.414,56308.444,56274.834,60307.276,60321.742,60309.489,60351.992,60369.788,60357.583,60310.572,60312.225,60294.429,60292.767,64393.169,64377.957,64309.597,64307.712,64309.522,64313.045,64293.653,64350.177,64350.572,64310.812,68346.522,68351.197,68294.086,68308.113,68371.522,72391.924,72308.561,72307.727,72310.37,72414.326,76377.162,76348.845,76348.148,76313.167,76345.973,80357.334,80349.626,80350.285,80425.591,80420.458,84377.438,84452.348,84358.109,84329.841,84294.499,88319.296,88324.501,88308.93,88391.886,88403.441,92367.78,92294.218,92308.985,92295.423,92352.205,96312.277,96419.768,96366.693,96284.922,96293.83,100312.287,100390.949,100424.01,100312.082,100310.931,104310.573,104346.709,104424.94,104352.214,104410.795,104313.567,104429.375,104414.41,104319.459,104415.207,108393.933,108312.535,108312.061,108372.098,108311.174,112425.694,112294.633,112289.958,112423.496,112410.933,112365.891,112283.487,112356.522,112440.085,112313.197,116309.593,116312.933,116371.301,116343.381,116389.455,120328.542,120340.84,120308.511,120316.444,120311.249,124313.943,124444.036,124311.315,124314.798,124313.086
5,4.729,4.438,4.543,4.714,7.758,4.403,4.665,4.62,7.527,4.407,5388.237,5432.392,5393.817,5416.898,5387.219,10465.039,10394.519,10978.849,10429.928,10432.376,15417.221,15346.886,15412.836,15383.33,15501.792,15441.921,15396.852,15516.05,15490.192,15401.234,20407.298,20472.872,20392.712,20411.345,20452.815,25557.415,25397.548,25511.633,25406.023,25404.038,30530.748,30449.946,30361.605,30447.751,30520.885,35439.79,35472.891,35484.112,35402.001,35471.058,40441.832,40405.205,40377.451,40402.75,40529.793,40452.464,40610.58,40517.632,40402.885,40398.563,45441.858,45440.562,45405.458,45396.705,45401.564,50402.289,50407.45,50431.538,50468.609,50370.576,55484.486,55384.394,55415.364,55405.253,55524.37,60476.793,60515.577,60429.458,60611.103,60403.945,65407.066,65325.062,65519.606,65434.315,65517.888,70479.369,70364.25,70404.726,70402.914,70407.094,70457.441,70445.062,70421.129,70447.369,70407.663,75404.165,75447.205,75462.028,75376.12,75404.586,75522.623,75418.705,75459.741,75424.223,75402.13,80406.051,80406.169,80368.054,80463.938,80433.984,80404.288,80524.345,80405.633,80412.938,80516.94,85449.396,85470.811,85523.833,85447.805,85403.971,90515.542,90433.131,90500.793,90502.045,90469.902,95417.095,95460.705,95496.423,95471.805,95404.042,100520.729,100408.111,100444.132,100474.066,100375.177,105408.832,105521.693,105519.045,105449.306,105518.531,110524.232,110521.207,110517.672,110515.714,110493.202,115521.878,115482.585,115483.136,115456.656,115384.905,120495.55,120456.981,120406.178,120481.683,120450.977,125481.48,125449.904,125449.742,125491.884,125386.012,130448.827,130409.11,130409.356,130409.524,130487.614,130407.291,130414.814,130485.865,130529.796,130378.529,135461.892,135489.601,135439.164,135445.021,135402.003,140449.748,140411.27,140448.055,140407.762,140411.363,140406.645,140489.328,140444.785,140400.623,140449.726,145408.769,145413.209,145377.464,145377.272,145451.114,150388.056,150410.521,150491.117,150414.372,150409.871,155452.488,155449.308,155453.74,155378.146,155375.554
6,4.808,4.462,4.556,4.518,6.382,7.838,4.244,4.668,4.563,4.625,6460.126,6516.23,6459.566,6422.424,8237.866,12518.004,12459.912,12566.475,12477.343,12515.624,18522.576,18514.652,18479.156,18524.221,18508.04,18460.438,18494.299,18497.225,18441.096,18518.67,24520.755,24488.338,24416.957,24477.255,25712.892,30568.585,30530.733,30524.289,30451.162,30512.714,36498.945,36465.973,36449.232,36445.694,36417.178,42537.07,42515.044,42497.732,42507.214,42581.39,48521.131,48596.888,48499.653,48558.432,48594.092,48439.517,48551.149,48444.098,48504.522,48501.034,54501.121,54612.459,54528.089,54538.733,54499.738,60385.271,60478.84,60508.235,60500.713,60542.184,66452.702,66565.718,66548.839,66509.331,66495.008,72500.806,72509.085,72509.167,72504.003,72500.437,78498.643,78565.271,78493.261,78491.078,78504.955,84511.345,84502.695,84512.555,84500.803,84501.287,84455.288,84459.15,84508.798,84576.991,84562.671,90483.084,90523.759,90503.642,90501.923,90501.494,90488.229,90611.711,90545.471,90618.911,90546.373,96571.526,96498.224,96525.803,96484.643,96583.732,96668.703,96543.699,96451.3,96533.671,96560.486,102526.602,102519.328,102508.342,102501.775,102502.246,108502.972,108581.912,108623.668,108481.851,108454.896,114462.907,114525.57,114546.352,114538.73,114557.448,120538.477,120584.202,120561.656,120542.226,120574.671,126456.933,126624.222,126502.273,126543.493,126588.445,132505.839,132503.027,132507.222,132609.267,132501.948,138507.648,138507.84,138503.566,138505.395,138624.142,144581.072,144504.981,144507.553,144623.433,144621.438,150617.473,150548.792,150502.723,150503.363,150608.952,156592.947,156588.236,156474.423,156520.845,156529.942,156617.326,156545.54,156515.348,156507.38,156503.35,162544.673,162545.279,162505.612,162565.315,162493.648,168531.292,168618.904,168525.19,168507.597,168504.072,168492.658,168534.006,168546.602,168588.296,168574.952,174575.329,174601.341,174506.747,174508.095,174457.869,180552.24,180544.222,180505.71,180507.351,180544.021,186506.536,186458.24,186518.714,186550.93,186510.461
7,4.495,4.505,4.598,4.669,8.297,4.31,4.332,4.523,4.746,4.495,7606.689,7569.62,7566.729,7502.656,7525.203,14591.667,14561.803,14562.883,14535.186,14530.911,21584.327,21621.744,21536.715,21566.579,21592.413,21586.79,21592.972,21593.849,21668.87,21609.836,28645.674,28591.551,28593.242,28551.11,28688.939,35628.371,35530.379,35605.761,35551.874,35578.165,42537.162,42592.353,42653.316,42754.437,42810.599,49600.073,49606.896,52256.163,49635.75,49584.317,56585.068,56644.523,56688.628,56594.014,56606.089,56594.336,56636.211,56631.796,56603.711,56599.336,63583.534,63596.627,63532.161,63629.365,63612.008,70625.428,70608.76,70579.635,70685.497,70622.945,77671.881,77699.677,77591.059,77633.359,77613.325,84625.038,84616.062,84595.001,84705.508,84654.646,91682.448,91596.501,91597.732,91594.499,91604.352,98603.507,98533.596,98634.825,98568.158,98643.013,98597.241,98596.498,98711.023,98600.145,98702.087,105670.409,105702.807,105596.681,105533.478,105608.349,105607.982,105715.281,105639.681,105596.173,105598.922,112601.891,112599.809,112622.96,112597.992,112598.075,112595.07,112597.53,112566.918,112661.469,112683.83,119714.924,119598.914,119601.853,119599.179,119598.848,126598.758,126636.739,126531.448,126657.181,126573.342,133726.576,133663.481,133586.773,133636.55,133533.044,140641.061,140560.189,140604.707,140713.631,140681.396,147603.128,147703.735,147609.766,147513.643,147661.042,154577.978,154604.902,154715.926,154640.382,154614.524,161691.67,161640.654,161608.119,161722.612,161604.248,168547.91,168582.315,168646.135,168601.827,168600.978,175714.498,175517.788,175641.601,175643.439,175601.97,182614.679,182605.019,182605.217,182738.065,182704.96,182565.48,182540.909,182667.865,182584.92,182709.16,189603.543,189601.694,189600.246,189650.296,189579.778,196599.279,196637.772,196720.839,196537.899,196604.896,196534.752,196611.65,196604.513,196608.532,196615.393,203601.142,203605.102,203602.751,203602.017,203643.313,210644.648,210536.926,210578.43,210570.607,210651.213,217646.372,217571.967,217575.43,217572.355,217605.109
8,4.57,4.583,4.646,4.54,7.136,4.516,4.703,4.546,4.408,4.4,8653.77,8660.37,8645.636,8564.013,8559.702,16649.891,16617.691,16679.855,16602.992,16743.62,24631.93,24657.952,24674.252,24654.882,24606.896,25015.586,24682.702,24632.981,24640.752,24723.531,32732.208,32690.624,32741.65,32631.26,33640.943,40622.757,41014.147,40768.597,40647.46,40666.504,48794.84,48835.702,48657.23,48764.061,48773.523,56661.001,56778.846,56653.932,56776.543,56688.449,64803.28,64615.368,64688.93,64837.193,64701.168,64693.433,64786.581,64768.937,64699.545,64573.619,72680.317,72697.058,72804.953,72702.632,72698.918,80815.57,80749.106,80603.092,80683.465,80660.208,88686.893,88681.179,88682.548,88699.554,88695.134,96692.689,96696.372,96775.202,96695.946,96697.605,104734.264,104682.279,104748.099,104666.367,104819.085,112727.24,112799.735,112736.219,112746.044,112711.371,112590.808,112624.571,112731.688,112687.501,112615.933,120682.792,120774.637,120796.671,120734.702,120651.743,120710.361,120693.58,120697.377,120769.711,120693.901,128751.624,128752.163,128697.878,128695.083,128719.468,128702.052,128697.413,128694.259,128745.79,128812.828,136744.562,136696.401,136619.065,136675.508,136684.837,144774.975,144631.973,144755.826,144797.588,144800.269,152700.059,152630.231,152693.707,152800.682,152732.852,160921.676,160711.027,160704.73,160681.426,160634.528,168688.748,168726.239,168698.397,168678.211,168701.292,176737.874,176774.652,176793.839,176696.904,176738.051,184739.154,184692.288,184686.096,184632.066,184711.711,192697.758,192822.073,192740.092,192725.738,192637.281,200642.092,200811.729,200812.899,200737.44,200715.156,208707.773,208625.153,208801.731,208706.042,208699.653,208698.412,208810.147,208815.152,208700.85,208771.235,216694.135,216778.422,216685.336,216696.448,216699.885,224699.963,224698.435,224724.665,224757.094,224622.431,224753.139,224752.514,224700.233,224701.428,224697.246,232699.727,232744.939,232632.026,232689.855,232816.249,240752.962,240738.557,240733.623,240760.743,240778.81,248703.012,248716.067,248736.767,248715.017,248814.97
9,4.51,4.343,4.598,4.629,7.943,4.293,4.248,4.721,4.518,4.733,9727.878,9655.681,9704.156,9720.85,9737.927,18720.086,18715.873,20128.694,20991.031,18844.072,27766.801,27801.508,27797.544,27742.582,27874.447,27748.298,27785.86,28446.333,27864.584,27765.869,37243.406,36729.657,36813.957,36746.898,36813.233,45720.278,47123.231,45761.416,45691.118,45784.925,54775.027,54797.16,54740.94,54739.648,54762.728,63779.011,63760.27,63790.906,63723.68,63746.02,72746.295,72736.194,72768.278,72863.572,72766.314,72861.434,72847.467,72721.034,72744.935,72784.35,81721.493,81792.928,82612.012,81789.662,81788.891,90788.926,90814.377,90808.583,90896.088,90895.161,99767.769,99737.669,99787.753,99773.804,99770.167,108821.328,108783.272,108790.697,109352.55,108776.87,117814.983,117862.588,117793.115,117908.173,117787.251,126831.982,126842.386,126854.752,126790.376,126787.031,126842.156,126788.953,126760.334,126732.83,126655.279,135908.398,135795.751,135887.45,135793.115,135789.008,135795.843,135826.261,135838.439,135814.562,135800.065,144896.173,144792.17,144746.527,144704.588,144699.896,144780.335,144798.496,144796.951,144788.958,144794.758,153793.468,153777.037,153747.153,153816.591,153861.206,162770.986,162876.389,162795.575,162876.018,162881.748,171737.049,171832.686,171872.555,171815.032,171689.587,180833.677,180767.866,180800.847,180689.602,180907.911,189798.233,189793.74,189706.3,189891.897,189792.35,198778.93,198775.966,198733.621,198735.706,198803.876,207801.059,207803.944,207797.484,207790.518,207837.539,216795.356,216796.092,216910.627,216792.088,216904.581,225814.963,225920.169,225882.485,225803.878,225721.731,234822.047,234916.3,234810.839,234796.638,234722.498,234793.754,234772.683,234838.881,234911.166,234799.021,243837.816,243801.084,243788.76,243748.695,243776.936,252898.078,252761.462,252807.862,252795.661,252871.824,252910.251,252944.821,252877.121,252713.606,252778.118,261794.306,261762.803,261802.582,261877.272,261870.925,270800.993,270871.115,270698.962,270808.51,270795.558,279803.353,279798.106,279700.97,279839.624,279800.936
10,4.518,4.719,4.61,4.461,7.841,4.383,4.598,4.625,14.09,4.804,10833.157,11590.564,10816.054,10767.084,13486.12,20798.121,20805.448,20770.442,20767.009,20838.199,30794.234,30782.542,33524.145,30823.487,31057.008,30728.708,34984.652,30889.319,30803.172,30917.919,40769.941,40791.693,40781.397,40795.439,40786.717,50882.244,50812.148,50816.35,50833.414,50958.42,60939.449,64931.989,60841.378,60873.324,60810.596,70873.562,70804.467,70735.776,70894.783,70849.594,80862.539,80823.282,80998.277,80882.149,80887.854,80883.798,80888.353,80880.057,81038.615,80961.808,90898.346,90854.285,90903.147,90814.385,90907.75,100879.851,100810.293,100748.314,100828.101,100991.373,111010.387,110931.407,110895.079,110923.882,110897.318,121008.265,120880.349,120873.536,120998.98,120887.381,130890.572,130953.047,130862.011,130889.352,130971.176,140886.608,140999.554,140770.434,140877.753,140939.703,140884.138,140972.001,140990.728,140775.582,140891.271,151026.775,150876.916,150886.019,150891.381,150927.681,150998.487,150895.974,150891.457,150891.003,150977.055,160979.517,160898.984,160770.206,160735.476,160846.568,161006.467,160893.062,160819.73,160757.971,160847.627,170790.936,170967.299,170882.045,170868.714,170868.471,180897.643,180850.068,180928.04,180845.417,180885.894,190867.591,191076.554,190906.874,190878.02,190903.612,200888.76,200945.235,200845.893,200823.23,200815.175,210819.296,210889.539,211008.363,211016.008,210999.755,220890.801,220968.471,220778.039,220932.666,221005.438,230986.523,230781.358,230891.696,231013.179,230890.756,240895.058,240942.708,240935.086,241020.48,240937.326,250895.53,250977.113,251007.35,250897.717,250882.351,260936.739,260897.624,260989.563,260922.775,260878.151,260839.883,260887.879,260889.004,260871.461,260894.622,270895.627,270810.402,270933.652,270898.631,271015.408,280896.298,280956.728,280898.476,280897.082,280892.8,280911.089,280899.578,280895.611,280895.471,280923.235,290903.915,290904.745,290892.389,290897.676,290993.106,300891.313,300895.862,300910.107,300890.985,300894.1,310904.81,310895.821,310900.369,310896.63,310894.005
