id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127,feature128,feature129,feature130,feature131,feature132,feature133,feature134,feature135,feature136,feature137,feature138,feature139,feature140,feature141,feature142,feature143,feature144,feature145,feature146,feature147,feature148,feature149,feature150,feature151,feature152,feature153,feature154,feature155,feature156,feature157,feature158,feature159,feature160,feature161,feature162,feature163,feature164,feature165,feature166,feature167,feature168,feature169,feature170,feature171,feature172,feature173,feature174,feature175,feature176,feature177,feature178,feature179,feature180,feature181,feature182,feature183,feature184,feature185,feature186,feature187,feature188,feature189,feature190,feature191,feature192,feature193,feature194,feature195,feature196,feature197,feature198,feature199,feature200,feature201,feature202,feature203,feature204,feature205,feature206,feature207,feature208,feature209,feature210,feature211,feature212,feature213,feature214,feature215,feature216,feature217,feature218,feature219,feature220,feature221,feature222,feature223,feature224,feature225,feature226,feature227,feature228,feature229,feature230,feature231,feature232,feature233,feature234,feature235,feature236,feature237,feature238,feature239,feature240,feature241,feature242,feature243,feature244,feature245,feature246,feature247,feature248,feature249,feature250,feature251,feature252,feature253,feature254,feature255
1,787.1,359.3,397.6,474.5,518.8,595.3,607.3,459.2,573.6,570.6,597.8,839.5,840.9,862.1,861.9,639.8,722.2,741.2,769.4,843.4,766.0,908.8,886.4,639.8,710.4,734.4,830.7,825.9,835.3,876.6,853.2,780.0,855.1,854.3,869.4,980.7,919.6,990.7,951.3,846.6,883.0,880.9,952.5,972.2,1017.9,1047.5,1091.8,793.8,824.5,870.3,846.9,924.0,926.3,975.8,974.7,824.8,855.7,903.9,920.9,966.5,1022.7,1043.5,1078.2,777.4,1178.7,856.3,908.8,977.6,920.6,1002.0,971.3,850.4,847.7,903.6,914.3,1012.0,974.0,1094.2,1096.2,1172.1,1155.4,1172.6,1168.0,1219.9,1217.5,1289.9,1350.5,1191.3,1160.1,1264.3,1265.7,1328.9,1298.6,1369.7,1401.1,939.6,980.7,1030.7,1073.8,1159.2,1179.1,1186.8,1154.1,1014.5,1064.8,1044.8,1113.5,1177.4,1192.9,1269.7,1274.4,1150.3,1151.8,1185.7,1192.1,1219.5,1261.7,1262.5,1310.9,1228.5,1155.2,1251.4,1268.5,1315.1,1351.8,1359.1,1379.2,941.2,978.4,1061.3,1026.9,1138.2,1160.9,1178.9,1180.4,1008.1,1034.5,1048.5,1097.9,1153.1,1169.2,1230.9,1275.3,1123.7,1149.5,1205.8,1196.6,1184.7,1212.7,1305.3,1284.1,1202.1,1201.7,1215.6,1278.3,1292.3,1337.8,1344.4,1339.6,974.5,1010.2,1026.0,1066.8,1118.8,1125.5,1166.9,1231.9,1005.1,1072.6,1042.2,1059.1,1154.7,1205.4,1222.1,1274.1,1130.0,1160.0,1162.9,1216.6,1211.2,1223.4,1594.1,1272.9,1493.2,1505.4,1262.8,1239.3,1291.2,1307.3,1361.6,1371.8,1063.1,1137.2,1118.4,1203.4,1222.8,1242.2,1273.1,1315.1,1113.1,1165.6,1200.7,1169.8,1296.7,1320.3,1404.9,1406.4,1233.9,1240.4,1240.4,1257.9,1330.8,1300.0,1349.1,1393.3,1326.4,1357.1,1378.6,1358.0,1419.9,1426.5,1440.8,1506.9,1115.2,1151.1,1219.9,1236.1,1282.2,1307.1,1367.8,1381.2,1131.1,1192.1,1201.8,1242.9,1299.3,1322.0,1364.8,1416.6,1287.8,1330.8,1381.4,1357.6,1425.7,1420.9,1484.8,1494.0,1343.9,1323.7,1389.8,1428.9,1444.5,1480.0,1546.3,1580.9,1051.4
2,502.3,324.3,401.0,486.8,575.5,634.7,699.7,488.8,611.5,650.1,707.8,684.9,768.4,819.5,894.7,642.6,691.1,772.8,842.6,701.8,773.7,837.2,869.9,613.3,704.9,760.9,796.5,1027.9,766.5,809.0,867.7,801.3,866.2,961.9,986.0,882.3,895.5,1055.3,1102.4,993.1,1015.0,1105.5,1156.7,1019.1,1058.2,1122.3,1193.6,797.3,909.2,966.4,1028.8,865.5,893.5,1018.0,1104.0,974.8,1033.1,1115.8,1133.7,990.6,1064.0,1151.5,1183.7,810.9,848.8,977.0,1052.8,870.3,901.0,1002.5,1056.0,970.9,1033.1,1104.7,1141.5,979.6,1055.9,1144.2,1158.1,977.5,1062.6,1131.1,1189.5,1023.4,1116.2,1162.2,1249.6,1131.9,1203.0,1278.3,1319.1,1158.7,1229.9,1319.0,1334.8,923.9,973.6,1037.3,1089.6,961.6,1097.7,1146.3,1181.3,1075.8,1141.4,1199.2,1223.9,1112.2,1195.9,1218.6,1303.6,1002.2,1103.1,1122.5,1191.8,1015.1,1041.0,1174.7,1217.4,1136.4,1228.0,1234.3,1328.6,1183.0,1260.6,1296.8,1361.4,926.7,1270.9,1068.6,1084.5,976.4,1048.8,1127.9,1211.7,1091.7,1139.8,1184.9,1214.5,1114.6,1182.3,1282.9,1330.5,998.5,1057.1,1133.2,1204.1,1048.1,1068.0,1203.4,1299.8,1138.7,1247.4,1258.8,1295.1,1160.9,1228.5,1280.1,1354.6,889.5,986.3,1049.7,1066.2,977.8,1013.2,1152.0,1171.4,1035.0,1164.0,1206.3,1187.1,1112.2,1500.2,1263.1,1318.7,959.0,1071.8,1134.6,1183.9,1031.8,1071.0,1163.4,1273.5,1144.5,1207.6,1230.8,1307.5,1145.4,1214.2,1249.9,1360.5,1041.9,1419.4,1202.1,1244.0,1174.1,1183.3,1274.1,1374.5,1277.4,1277.6,1374.1,1431.0,1296.6,1412.0,1496.2,1439.8,1156.1,1201.6,1303.7,1400.5,1186.8,1214.3,1362.7,1437.8,1352.5,1391.4,1776.4,1564.1,1346.7,1377.1,1501.0,1566.3,1216.6,1284.9,1377.2,1419.8,1292.6,1384.8,1461.9,1497.0,1338.0,1393.9,1468.9,1511.3,1434.2,1515.0,1563.1,1622.6,1281.4,1384.6,1441.6,1495.2,1330.4,1406.9,1521.3,1552.6,1432.4,1575.3,1537.3,1624.4,1422.3,1540.8,1586.1,1633.0,1047.6
3,410.4,347.0,455.7,453.3,584.4,604.8,701.1,496.4,552.2,610.3,703.7,761.6,818.5,801.2,950.3,645.4,770.0,727.0,842.9,736.5,821.8,852.5,923.5,631.1,737.9,738.2,819.4,745.0,862.2,844.3,909.0,752.1,869.0,868.1,930.7,878.7,946.4,985.8,1058.6,904.1,963.2,971.5,1092.9,1030.3,1112.2,1046.0,1152.0,777.2,829.9,874.6,1051.5,909.5,987.1,989.9,1101.2,907.3,987.3,983.2,1057.0,950.2,1074.6,1032.2,1160.8,751.2,846.1,872.2,1059.2,874.0,967.8,956.4,1091.8,880.3,966.4,949.3,1081.4,989.4,1060.9,1048.8,1192.2,1024.4,1103.7,1123.2,1222.1,1108.3,1224.2,1229.8,1350.3,1133.6,1213.6,1218.6,1328.6,1199.4,1323.9,1269.7,1384.5,883.7,944.3,998.5,1098.6,1025.4,1145.0,1100.9,1230.7,1073.3,1152.9,1079.8,1192.7,1167.0,1229.2,1199.8,1308.5,1049.4,1123.4,1163.7,1242.6,1127.8,1187.9,1203.0,1328.0,1115.3,1202.1,1223.5,1313.7,1168.7,1305.5,1273.0,1398.5,898.0,1012.0,998.6,1110.8,1042.1,1166.4,1134.6,1229.5,1042.3,1123.1,1145.9,1211.1,1151.0,1249.2,1222.2,1318.4,1032.1,1104.4,1117.5,1210.6,1132.9,1192.5,1228.9,1332.9,1132.3,1277.4,1226.2,1330.0,1189.0,1281.3,1281.5,1354.1,874.0,964.9,993.2,1100.0,1037.6,1139.4,1124.8,1242.8,1001.8,1145.2,1089.0,1217.1,1133.8,1217.5,1203.4,1341.0,1019.8,1111.4,1114.6,1266.5,1118.3,1247.6,1272.1,1310.1,1125.7,1206.5,1225.2,1642.3,1218.8,1312.3,1270.5,1411.3,1026.1,1090.7,1136.0,1209.1,1144.9,1315.8,1294.0,1337.6,1150.2,1223.6,1243.7,1346.4,1330.5,1418.1,1373.5,1408.7,1156.1,1257.8,1268.5,1324.8,1247.6,1294.3,1358.8,1447.4,1273.1,1390.2,1367.5,1442.8,1397.1,1411.4,1423.9,1506.2,1169.8,1270.7,1290.9,1373.0,1248.7,1365.3,1381.5,1433.8,1239.2,1369.4,1341.9,1408.2,1378.1,1435.8,1467.5,1537.9,1236.0,1392.3,1368.6,1465.9,1378.6,1428.3,1466.2,1551.2,1380.9,1464.6,1456.6,1534.9,1393.6,1520.0,1524.6,1588.3,1014.9
4,434.5,349.9,510.4,481.8,574.2,584.4,685.0,478.9,608.8,599.1,700.6,752.6,836.3,843.0,955.0,601.1,735.3,683.7,846.2,750.5,828.2,816.2,889.6,598.7,746.7,702.3,848.7,716.4,816.4,838.0,911.7,739.0,871.7,877.5,953.9,883.8,941.7,994.1,1033.7,868.5,988.3,966.3,1105.4,995.0,1077.2,1026.2,1105.7,750.1,894.8,895.4,973.2,838.9,926.0,1016.1,1059.9,878.1,964.2,975.9,1080.8,965.4,1090.7,1018.5,1157.6,742.2,859.7,1194.3,1031.2,866.3,944.6,932.2,1037.7,836.4,941.2,930.8,1056.4,979.5,1098.4,1068.2,1155.9,958.0,1097.1,1123.3,1229.5,1085.4,1209.3,1202.6,1317.5,1133.2,1262.1,1188.2,1265.6,1192.9,1285.4,1274.6,1424.1,886.0,1003.9,1004.8,1119.0,998.8,1073.7,1166.5,1218.2,998.6,1105.9,1065.7,1168.0,1119.5,1184.2,1183.6,1251.8,993.0,1112.5,1119.6,1244.5,1113.0,1188.5,1193.7,1289.6,1119.3,1212.6,1189.3,1262.7,1223.9,1284.5,1256.9,1369.4,865.4,1010.4,982.1,1125.5,984.5,1094.1,1121.2,1181.9,1035.1,1123.0,1074.9,1235.0,1142.4,1194.5,1183.7,1300.1,1011.6,1102.6,1119.5,1236.9,1115.6,1141.1,1226.7,1288.6,1099.1,1223.5,1197.2,1280.1,1188.8,1311.3,1276.3,1360.1,861.6,987.4,993.5,1086.6,1013.5,1158.6,1140.0,1184.8,965.3,1068.2,1083.9,1187.4,1175.2,1169.7,1187.6,1247.5,945.6,1101.0,1087.7,1241.2,1088.6,1156.4,1214.5,1283.1,1116.7,1285.4,1197.5,1278.1,1185.4,1285.5,1294.7,1372.2,997.5,1143.7,1095.1,1217.2,1143.2,1217.4,1256.0,1322.8,1126.1,1228.8,1252.5,1330.0,1289.5,1342.2,1354.0,1395.2,1123.5,1197.8,1229.3,1327.6,1224.6,1302.5,1318.7,1446.3,1263.0,1376.4,1333.3,1466.0,1353.0,1414.9,1401.5,1528.6,1109.1,1226.4,1234.3,1368.6,1252.1,1357.8,1370.0,1515.3,1252.5,1377.6,1308.0,1405.9,1377.1,1418.1,1414.9,1505.9,1221.9,1358.6,1333.3,1459.1,1373.1,1416.3,1419.2,1517.9,1350.7,1471.3,1424.7,1493.7,1405.7,1529.4,1475.5,1581.2,990.3
5,478.7,360.8,519.2,520.1,672.4,674.4,805.2,522.7,663.4,719.8,801.6,719.1,862.4,874.6,995.6,630.8,800.5,757.6,989.7,707.7,834.7,840.7,973.8,627.1,768.0,811.1,945.0,710.4,850.5,843.2,999.6,809.0,948.8,960.6,1091.8,870.8,991.7,1060.1,1185.6,949.9,1113.8,1074.7,1242.0,1015.4,1146.5,1131.0,1274.3,814.3,974.6,983.1,1090.9,882.3,967.5,1027.0,1157.8,972.7,1094.6,1082.6,1187.2,1018.2,1154.9,1156.1,1315.0,817.2,947.5,969.5,1103.9,841.4,1292.2,1024.6,1165.7,939.3,1091.4,1061.6,1226.9,1067.6,1159.1,1154.8,1301.5,1007.5,1131.1,1158.9,1324.2,1049.3,1152.9,1221.9,1319.8,1147.6,1322.6,1259.1,1395.3,1224.7,1342.2,1356.1,1514.9,917.1,1058.9,1076.5,1233.9,989.7,1126.7,1186.0,1295.6,1074.0,1213.7,1215.2,1282.3,1121.6,1308.2,1267.7,1402.6,1014.4,1131.9,1160.2,1306.6,1025.1,1184.3,1189.9,1376.3,1156.1,1289.3,1290.2,1405.9,1202.4,1338.0,1347.8,1486.6,936.0,1083.3,1090.5,1198.9,1005.6,1129.2,1136.2,1279.0,1076.0,1221.2,1164.0,1317.7,1168.1,1302.5,1248.9,1420.3,1018.7,1150.3,1182.6,1367.9,1012.8,1193.4,1175.5,1337.5,1161.3,1317.5,1280.1,1395.0,1184.6,1327.7,1349.0,1490.3,929.2,1051.8,1077.7,1209.4,1040.6,1114.3,1161.9,1312.2,1073.3,1216.6,1195.6,1327.4,1147.7,1322.4,1271.7,1408.4,999.6,1140.2,1167.7,1379.7,1068.8,1173.8,1222.3,1340.1,1143.5,1335.8,1252.7,1424.5,1224.7,1318.4,1367.0,1479.5,1103.6,1229.6,1234.1,1395.6,1190.5,1329.5,1346.1,1484.5,1284.7,1403.9,1401.7,1505.9,1337.9,1483.4,1469.4,1564.6,1193.4,1292.9,1337.8,1468.4,1181.2,1661.4,1358.8,1480.4,1353.5,1516.1,1447.6,1596.9,1397.9,1501.6,1523.8,1658.8,1270.2,1417.1,1390.1,1549.2,1360.1,1495.2,1459.2,1613.4,1360.1,1544.7,1440.3,1581.0,1458.8,1610.4,1573.0,1686.2,1352.9,1468.8,1466.9,1605.7,1365.1,1523.5,1550.0,1651.4,1423.7,1650.4,1569.3,1679.6,1506.3,1644.7,1619.8,1730.7,1069.4
6,496.8,375.0,546.2,491.0,633.4,576.9,673.4,478.8,641.8,547.9,718.7,804.9,931.7,843.5,1038.5,665.9,838.2,811.8,919.4,793.0,948.1,889.7,977.1,651.2,804.0,749.7,902.2,800.3,920.2,861.3,982.3,741.4,906.6,856.5,1002.6,927.4,1033.3,959.2,1097.3,846.0,962.1,884.1,1045.6,995.1,1130.2,1024.0,1145.0,775.7,951.0,852.1,978.8,885.1,1016.7,1248.1,1072.8,872.4,1013.7,886.8,1025.5,1033.1,1157.9,1023.9,1162.6,773.6,937.2,875.5,969.9,920.5,1011.0,968.9,1081.2,855.8,989.3,936.2,1034.6,999.7,1102.2,1017.8,1133.8,1102.4,1231.2,1171.9,1337.9,1198.4,1322.3,1272.8,1401.6,1186.3,1284.6,1257.8,1345.7,1292.0,1486.9,1301.2,1462.7,925.0,1114.8,1040.8,1147.4,1135.8,1276.1,1152.2,1320.7,1027.4,1167.4,1080.9,1196.4,1223.1,1301.0,1231.7,1359.1,1100.5,1246.7,1199.1,1303.0,1195.2,1336.1,1284.5,1446.9,1182.5,1324.3,1225.1,1362.6,1273.9,1428.6,1303.9,1452.5,927.4,1131.0,1069.0,1171.6,1116.9,1246.7,1229.5,1307.5,1014.8,1153.0,1043.6,1185.5,1213.8,1296.3,1206.0,1342.0,1098.5,1232.4,1158.5,1333.0,1224.9,1318.3,1302.5,1434.8,1201.4,1298.2,1232.1,1345.6,1330.1,1396.7,1301.7,1464.2,955.0,1093.9,1049.8,1175.6,1110.6,1247.4,1183.0,1343.2,1045.3,1154.6,1059.0,1217.6,1187.9,1298.1,1209.0,1719.7,1092.1,1222.4,1203.7,1645.2,1224.5,1291.1,1291.3,1403.0,1197.8,1305.5,1242.2,1398.9,1265.4,1425.1,1308.2,1431.7,1034.4,1189.9,1146.5,1252.8,1230.9,1362.2,1299.5,1451.1,1157.4,1230.4,1174.4,1343.2,1301.1,1434.0,1341.7,1440.1,1235.8,1377.8,1307.1,1388.6,1324.9,1422.2,1426.4,1501.8,1274.6,1439.5,1347.1,1480.2,1396.2,1507.9,1480.1,1587.1,1098.2,1249.7,1202.4,1339.7,1276.0,1410.3,1346.7,1439.6,1194.0,1352.8,1198.1,1328.7,1335.0,1442.8,1381.3,1866.3,1315.8,1385.9,1361.3,1511.7,1383.3,1535.4,1480.4,1926.4,1324.4,1466.6,1370.6,1545.2,1462.5,1612.9,1500.9,1640.4,1037.0
7,519.0,357.3,546.6,459.3,651.6,501.0,647.8,473.3,636.2,507.9,656.6,574.0,745.8,609.2,750.0,533.9,691.9,572.0,778.0,562.9,767.8,608.7,756.6,539.7,668.1,533.5,722.8,606.3,716.8,598.4,749.0,640.9,794.9,625.2,815.0,627.0,800.8,684.1,880.8,641.6,797.5,668.1,833.2,692.1,845.9,738.6,867.0,662.5,795.9,645.9,803.0,614.9,761.3,688.8,900.9,662.0,810.3,676.9,822.7,751.8,869.4,703.7,865.8,633.9,773.6,639.1,787.7,652.0,775.6,711.1,884.3,640.9,838.0,674.3,810.2,709.4,861.1,751.2,900.6,765.9,905.9,1045.2,882.8,765.8,966.0,810.1,933.6,781.4,940.1,806.4,1022.6,808.5,983.9,793.8,994.7,675.8,847.0,727.8,926.2,752.3,862.6,767.3,929.4,731.1,866.6,755.6,944.5,763.8,914.0,795.9,959.3,776.2,943.3,745.7,889.6,747.3,911.8,804.4,1346.9,790.7,935.6,811.9,1013.7,778.8,949.3,817.8,986.1,708.4,857.3,731.3,908.5,767.4,875.6,768.3,932.9,737.6,864.5,751.9,985.9,773.2,895.3,796.8,926.5,768.9,888.6,758.4,893.4,773.0,902.9,836.3,982.6,789.2,905.7,839.6,964.3,829.1,952.8,841.9,1028.7,686.7,874.9,762.1,882.5,687.3,858.1,737.5,937.5,744.1,879.5,770.4,922.7,758.8,958.4,805.4,1007.8,738.9,916.4,731.6,938.8,764.2,909.1,819.5,975.6,793.6,949.4,789.7,1016.6,790.9,1020.3,817.4,985.3,762.7,885.6,827.1,947.2,800.5,956.7,852.9,1054.9,816.5,968.1,823.6,1031.1,829.5,983.2,852.2,997.8,822.5,1019.1,811.9,1017.8,849.8,1014.9,933.7,1088.6,852.6,1034.3,874.1,1069.1,864.8,1005.2,914.1,1075.3,857.2,993.3,839.0,984.7,810.3,987.1,867.9,1017.8,843.0,1019.8,864.1,1001.0,898.8,1068.1,930.0,1070.0,864.7,1001.6,919.6,1040.0,903.3,1073.3,905.6,1108.1,867.3,1053.3,932.2,1112.6,870.9,1079.4,955.8,1096.9,750.7
8,568.3,369.5,567.8,473.8,630.6,488.1,676.9,489.8,641.6,508.8,670.3,570.7,729.6,638.3,808.5,573.1,751.4,572.9,743.9,561.8,732.3,611.6,758.0,535.1,715.2,558.5,759.7,566.3,748.6,594.7,762.7,637.5,799.1,638.9,859.0,636.0,859.8,670.6,889.8,639.2,791.6,700.8,812.2,704.2,859.7,723.2,883.5,611.4,847.5,639.2,821.2,650.8,784.9,737.0,961.0,636.3,877.2,694.1,820.9,712.8,868.8,730.8,913.7,648.1,832.4,623.7,824.4,621.2,791.6,669.3,902.5,641.6,791.4,666.2,881.1,707.5,880.5,714.9,912.9,720.0,950.6,744.2,888.9,763.9,910.1,800.2,978.5,774.2,959.6,794.5,1017.8,796.7,1000.7,811.9,1012.4,691.5,855.5,750.5,918.3,721.2,876.6,741.0,1013.4,687.6,902.8,764.3,969.6,755.9,947.6,794.7,958.9,733.3,916.2,717.4,910.6,790.8,944.8,789.6,1042.1,752.2,916.8,824.3,1036.4,790.4,969.2,830.3,996.4,697.1,856.2,715.1,891.8,693.2,880.1,782.0,948.0,689.0,868.3,752.3,974.3,763.7,926.0,770.2,937.8,712.4,914.7,747.4,942.2,722.7,908.7,784.2,1055.5,775.7,911.6,865.5,1019.2,771.2,950.2,847.3,1010.9,703.8,898.8,750.6,885.4,683.1,843.5,774.8,914.5,711.6,898.3,737.1,958.8,818.4,930.8,1078.8,1027.5,716.4,948.5,733.5,920.6,747.8,927.5,799.3,1021.3,801.0,966.5,799.2,1004.6,829.2,985.2,854.7,1001.7,735.8,944.5,766.2,979.2,783.8,1014.7,819.6,1051.9,818.7,983.1,832.2,1031.5,836.7,1010.6,894.4,1051.4,815.5,1005.9,828.9,982.5,811.1,1028.1,914.8,1090.1,861.9,1071.7,851.3,1075.2,857.7,1054.9,925.4,1068.4,776.2,1018.6,852.8,994.9,851.7,1003.8,885.1,1070.5,825.2,1019.6,876.0,1034.4,893.1,1059.4,896.8,1065.3,861.1,1069.3,906.0,1042.4,886.2,1096.9,884.3,1091.3,841.6,1070.9,891.1,1068.9,892.5,1047.3,924.8,1117.7,747.7
9,664.6,389.1,633.5,507.9,726.3,592.5,767.6,521.8,709.2,602.2,779.8,841.1,1057.9,891.0,1115.5,688.1,949.1,763.6,961.1,837.2,1026.3,948.7,1117.6,677.8,954.8,766.3,971.5,839.3,1051.6,927.4,1122.3,830.0,988.6,898.3,1046.0,949.6,1158.3,1006.2,1229.3,906.0,1061.0,921.7,1108.6,1013.7,1256.8,1085.9,1309.6,786.5,1032.7,911.3,1055.1,925.6,1161.7,1014.9,1267.2,894.7,1130.1,926.9,1107.2,1012.0,1287.6,1100.5,1306.8,785.3,998.5,883.0,1068.6,971.2,1155.5,1056.9,1240.2,879.7,1081.2,971.4,1097.7,1025.1,1286.1,1072.1,1295.4,1436.7,1328.5,1237.6,1427.4,1228.4,1481.7,1341.8,1555.7,1239.7,1430.0,1277.5,1458.0,1314.6,1539.5,1400.6,1609.0,968.4,1196.6,1056.3,1289.1,1139.3,1337.5,1201.7,1463.8,1099.0,1269.7,1081.0,1285.7,1232.0,1442.9,1248.1,1478.0,1135.7,1398.0,1233.8,1418.1,1220.5,1464.9,1355.4,1573.0,1251.0,1449.2,1261.9,1468.9,1310.7,1558.6,1418.3,1615.1,959.4,1196.4,1056.9,1248.2,1130.6,1354.9,1228.2,1417.7,1070.2,1229.6,1088.0,1310.6,1246.6,1441.2,1253.2,1468.9,1146.6,1339.3,1203.9,1720.7,1208.5,1436.8,1315.6,1572.1,1230.9,1417.1,1256.1,1505.5,1350.8,1535.4,1383.5,1619.4,992.1,1175.6,1057.2,1252.1,1157.9,1348.1,1245.3,1453.5,1065.4,1298.7,1067.3,1277.7,1271.8,1428.2,1245.3,1499.4,1429.8,1347.8,1251.0,1426.5,1232.6,1429.3,1351.5,1568.2,1259.6,1460.8,1263.5,1498.1,1370.7,1568.1,1397.7,1599.9,1046.2,1253.7,1185.1,1359.4,1238.2,1456.2,1307.7,1515.4,1176.2,1342.9,1220.2,1374.3,1306.6,1541.1,1398.3,1597.9,1247.5,1789.3,1315.1,1561.3,1307.2,1534.8,1445.6,1705.3,1307.5,1588.9,1371.0,1576.6,1421.3,1657.7,1535.3,1721.0,1146.7,1684.3,1199.4,1425.9,1352.7,1585.0,1366.4,1601.5,1225.2,1436.2,1233.2,1433.9,1413.4,1614.4,1431.6,1684.6,1321.1,1554.1,1366.5,1576.2,1383.9,1621.9,1511.0,1757.6,1391.9,1612.5,1410.2,1652.2,1514.6,1747.5,1582.3,1762.2,1061.1
10,694.5,407.3,679.5,599.0,858.4,728.6,1014.2,597.0,849.4,799.4,980.5,838.4,1021.9,938.7,1215.2,714.6,974.4,883.3,1154.9,782.4,1027.6,941.9,1151.2,729.4,948.4,913.0,1141.9,805.8,1029.9,920.5,1198.4,854.5,1103.0,1028.1,1321.9,976.2,1215.1,1134.2,1376.1,1005.9,1275.8,1173.7,1428.4,1126.4,1416.2,1203.2,1464.8,876.0,1147.2,1037.7,1318.3,968.7,1203.7,1093.1,1353.4,1002.6,1344.3,1459.6,1436.3,1124.0,1386.4,1224.8,1515.5,876.5,1123.8,1044.1,1321.6,999.1,1179.7,1085.2,1348.4,1001.4,1272.8,1175.1,1469.0,1116.8,1441.5,1212.3,1485.9,1051.4,1291.2,1245.0,1507.7,1167.9,1392.9,1263.7,1566.3,1202.5,1511.4,1333.6,1593.3,1284.0,1527.5,1440.6,1626.4,976.1,1214.9,1188.2,1447.0,1096.9,1290.9,1219.9,1511.9,1134.0,1401.3,1279.6,1563.6,1195.1,1485.2,1347.4,1584.8,1050.2,1323.0,1215.1,1483.2,1136.6,1414.6,1597.0,1523.2,1236.7,1521.2,1345.4,1651.4,1298.1,1566.1,1432.9,1670.2,990.7,1250.8,1136.6,1443.7,1082.2,1298.9,1237.5,1496.0,1161.6,1413.6,1254.8,1597.4,1206.8,1463.5,1336.9,1579.3,1058.3,1315.0,1224.5,1534.1,1120.9,1381.2,1249.0,1528.8,1252.8,1482.5,1316.8,1620.4,1309.1,1545.7,1389.1,1672.5,976.0,1211.8,1178.3,1443.6,1055.4,1308.5,1237.3,1495.4,1126.4,1386.9,1296.7,1535.8,1222.0,1516.0,1350.6,1601.6,1057.9,1275.4,1250.9,1481.8,1157.4,1357.3,1295.8,1561.9,1266.7,1529.3,1368.2,1634.2,1300.5,1561.6,1409.1,1650.0,1139.1,1439.2,1309.4,1558.5,1225.1,1479.6,1416.1,1646.8,1298.0,1592.4,1500.4,1751.0,1411.8,1663.5,1533.0,1796.3,1279.3,1496.0,1441.2,1693.5,1294.9,1517.1,1424.9,1701.6,1384.6,1684.9,1509.2,1782.2,1453.6,1745.5,1605.6,1864.4,1608.1,1561.7,1497.0,2141.7,1372.4,1700.6,1517.6,1811.3,1463.7,1717.9,1571.4,1851.7,1542.3,1814.8,1636.9,1894.4,1376.3,1969.9,1507.1,1792.8,1478.6,1722.4,1568.2,1863.6,1578.4,1847.2,1613.7,1899.8,1553.2,1833.8,1699.2,1951.6,1135.5
