id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63,feature64,feature65,feature66,feature67,feature68,feature69,feature70,feature71,feature72,feature73,feature74,feature75,feature76,feature77,feature78,feature79,feature80,feature81,feature82,feature83,feature84,feature85,feature86,feature87,feature88,feature89,feature90,feature91,feature92,feature93,feature94,feature95,feature96,feature97,feature98,feature99,feature100,feature101,feature102,feature103,feature104,feature105,feature106,feature107,feature108,feature109,feature110,feature111,feature112,feature113,feature114,feature115,feature116,feature117,feature118,feature119,feature120,feature121,feature122,feature123,feature124,feature125,feature126,feature127
1,782.6,331.0,396.7,446.0,536.8,543.3,585.1,442.3,542.8,549.9,575.1,745.5,826.7,887.4,882.7,628.3,666.6,736.5,753.2,817.4,806.7,853.9,849.8,648.3,709.2,698.8,724.6,816.0,817.1,856.8,855.1,729.7,768.3,755.6,800.0,861.6,880.1,893.2,961.5,703.7,778.1,819.4,847.3,873.4,904.8,949.6,980.3,715.7,768.2,793.8,852.4,860.3,878.8,946.7,918.6,731.7,783.3,821.2,837.0,899.3,930.7,937.1,976.6,719.7,748.9,771.1,829.7,855.8,893.2,965.4,942.1,711.3,786.3,802.3,843.6,856.7,931.4,1007.9,958.8,817.5,839.8,899.4,957.4,954.8,983.2,1038.8,1053.1,856.7,876.7,909.1,933.9,973.6,987.7,1063.3,1045.4,778.5,817.7,819.3,883.3,916.9,951.3,1017.2,1040.9,823.1,858.8,853.3,889.6,967.5,1283.6,1005.0,1018.7,815.2,846.3,867.3,941.5,968.0,971.9,1037.0,1007.0,858.4,901.4,910.3,969.8,937.0,1007.3,1044.5,1092.0,795.7
2,485.0,304.8,383.6,471.6,566.4,656.4,699.4,483.4,568.8,616.5,671.0,630.9,673.0,743.1,777.2,600.0,632.4,724.1,769.3,613.7,672.3,732.9,809.6,581.2,622.0,761.8,811.4,615.2,653.1,738.0,811.7,645.6,711.2,781.5,826.8,695.2,697.6,785.2,863.1,712.9,744.3,831.1,860.6,703.6,758.9,812.4,896.5,661.2,685.4,804.6,847.8,662.0,709.9,788.4,835.9,664.9,759.0,843.0,852.9,734.2,794.1,842.1,875.0,647.6,734.0,818.3,810.7,672.2,727.6,780.7,861.1,661.0,780.0,814.0,852.3,714.2,746.7,828.5,851.1,743.4,844.7,865.2,953.4,786.3,832.7,875.8,982.2,791.5,855.0,913.7,973.2,1112.3,867.6,934.2,974.9,734.1,787.5,880.4,885.7,721.2,803.5,874.0,951.3,742.4,804.0,888.2,903.8,774.6,864.5,908.5,968.3,734.1,827.7,887.4,934.1,768.4,809.7,929.1,931.0,804.5,885.8,921.7,971.7,788.4,841.4,913.4,973.4,733.4
3,448.0,341.1,433.6,463.7,569.8,593.7,723.8,508.3,563.0,633.8,699.9,713.1,749.7,820.5,938.6,618.6,728.9,733.7,836.8,704.1,803.1,802.9,925.4,608.3,705.8,741.3,824.0,694.8,756.0,835.0,918.8,829.1,912.4,882.5,1001.7,855.8,941.2,983.1,1092.2,946.7,1031.8,1032.9,1108.9,990.5,1055.3,1122.6,1257.6,816.3,898.8,918.5,1000.7,835.1,919.6,967.8,1049.0,948.9,1008.4,1039.4,1117.3,980.5,1078.5,1141.2,1206.1,812.2,870.4,882.1,1006.5,857.1,937.4,980.7,1102.5,951.9,1012.3,1034.5,1130.2,1033.2,1076.2,1122.1,1192.7,922.2,970.2,977.5,1154.5,1286.6,1041.1,1090.2,1209.2,1047.6,1133.8,1155.4,1259.2,1161.9,1171.2,1231.0,1327.9,866.9,947.4,979.8,1071.7,925.9,1044.5,1070.0,1156.0,1003.9,1107.2,1105.9,1221.3,1075.8,1221.2,1191.2,1277.2,939.3,1013.4,1010.4,1104.6,960.0,1048.4,1105.8,1166.3,1045.7,1128.5,1164.6,1235.1,1084.2,1170.9,1255.6,1331.1,895.4
4,451.1,355.6,447.0,484.1,610.2,651.6,766.9,533.2,627.2,654.9,736.2,606.7,758.5,749.8,908.1,618.8,757.7,729.7,832.8,622.8,736.7,726.7,874.4,615.4,725.8,708.6,832.3,639.7,708.2,762.2,858.6,667.9,791.2,808.1,930.5,688.6,834.2,823.8,941.8,705.0,811.4,829.3,940.1,722.1,835.6,855.9,968.7,689.6,818.9,784.2,951.5,685.0,798.0,843.7,942.6,755.8,825.2,834.5,942.7,732.6,872.0,850.2,961.1,655.1,802.4,817.4,918.1,693.5,801.5,822.2,958.3,714.7,836.4,828.5,919.2,738.0,826.8,852.5,979.2,777.6,874.5,888.6,1037.4,783.9,949.7,916.0,1036.4,833.5,924.2,941.4,1064.1,854.6,970.1,970.0,1061.5,748.2,881.0,920.2,973.6,779.3,915.9,898.1,999.6,771.5,886.4,861.4,1026.3,822.9,950.9,986.2,1108.4,778.2,929.6,913.6,1043.3,786.6,910.7,931.7,1019.3,841.4,921.8,942.2,1075.0,844.3,958.7,977.4,1080.8,765.3
5,476.3,363.9,483.6,455.7,597.0,536.3,653.0,451.8,609.0,560.1,676.1,796.2,896.9,853.8,975.9,644.5,761.0,716.1,836.4,793.5,882.9,843.9,993.8,626.9,767.5,721.1,827.5,800.0,933.5,837.9,985.1,709.3,864.7,1111.9,949.9,860.6,1006.1,887.5,1042.1,746.6,881.7,843.9,980.9,895.3,981.4,958.3,1065.5,712.9,855.4,775.6,906.6,886.6,1004.3,917.9,1074.2,756.2,896.5,818.0,942.1,859.9,1006.1,956.4,1093.4,730.5,890.5,757.4,896.8,869.9,999.2,909.9,1040.1,755.3,864.1,822.6,953.0,866.0,1000.8,974.3,1076.3,832.7,944.1,844.3,1000.9,964.9,1095.1,1008.6,1169.6,835.2,983.0,962.0,1066.1,936.7,1110.6,1066.0,1163.2,779.1,911.7,843.5,977.6,943.9,1078.2,1012.7,1134.3,804.2,991.5,886.9,1020.0,920.8,1045.4,1030.5,1154.2,825.3,1015.9,898.3,1037.9,997.0,1122.3,1015.3,1188.2,831.5,992.9,922.1,1081.3,957.8,1082.2,1039.6,1159.3,773.1
6,509.0,371.9,519.2,446.1,595.3,513.4,623.8,443.9,598.6,484.8,613.5,586.6,675.5,620.3,755.8,533.8,661.5,578.0,737.1,589.2,672.3,622.6,735.3,536.6,656.2,614.6,697.8,590.0,694.3,622.1,691.7,608.1,715.0,657.7,789.0,660.3,757.2,671.5,803.0,620.7,744.5,635.6,818.8,692.1,810.1,694.8,853.1,604.4,723.7,668.8,770.0,616.9,750.4,666.2,800.8,655.6,749.7,669.6,1086.2,681.8,822.0,689.0,815.5,617.5,776.5,646.4,1065.6,649.8,729.4,654.2,811.3,650.5,757.2,661.1,755.1,662.4,787.6,692.1,827.0,707.0,838.7,741.5,883.3,718.1,834.7,798.0,915.0,751.7,856.1,779.4,930.1,772.5,901.2,789.4,919.7,669.0,799.8,761.7,885.8,710.4,820.3,731.8,888.8,730.5,836.1,722.0,860.4,746.2,887.9,763.5,901.0,681.7,868.5,752.5,890.5,728.0,865.7,780.3,921.3,754.0,857.6,771.3,889.2,776.2,915.4,809.4,925.5,658.2
7,517.4,383.0,573.3,464.5,631.7,506.3,664.7,429.4,630.5,461.9,675.4,554.4,733.2,564.8,770.4,508.0,693.6,547.4,719.5,561.6,733.3,560.2,735.9,521.5,719.0,566.6,733.9,556.2,719.3,617.6,741.0,588.1,754.6,614.4,803.0,605.7,783.5,698.0,812.2,613.7,788.5,686.1,829.4,665.2,809.2,694.7,852.7,596.1,772.6,614.1,778.0,622.3,791.9,699.9,864.8,631.4,786.7,649.0,787.5,678.3,822.3,706.9,862.6,605.1,761.6,621.7,826.0,924.0,821.6,674.0,829.3,611.9,749.2,650.4,804.6,669.9,829.1,686.7,848.5,716.2,862.9,729.1,906.7,742.6,891.1,776.4,934.2,765.1,884.1,791.5,964.0,741.3,1241.2,793.1,964.1,656.4,854.7,685.9,897.1,657.2,852.4,726.1,938.6,679.5,881.5,724.6,893.6,735.3,879.6,784.7,933.7,739.4,904.5,721.9,893.2,737.0,890.4,795.9,940.4,729.6,899.6,816.3,953.9,739.8,923.2,785.4,953.9,655.8
8,601.9,396.9,567.9,498.4,729.4,606.4,741.3,494.8,675.3,566.7,727.7,804.6,1011.9,923.7,1076.0,657.5,841.9,744.2,919.1,791.4,1030.5,906.1,1093.5,679.5,840.5,730.0,885.2,868.6,997.4,902.0,1119.6,743.1,944.4,852.3,972.6,877.4,1088.3,967.2,1203.3,792.6,1022.0,857.2,1052.9,947.7,1119.3,1000.0,1218.9,788.5,936.2,859.9,984.3,891.9,1099.5,980.8,1147.9,779.6,1005.5,869.1,1010.5,917.1,1134.9,1014.7,1261.1,744.5,913.0,808.7,996.4,904.7,1107.3,983.5,1189.1,1172.4,985.6,834.7,1019.9,933.2,1105.4,987.6,1203.1,848.0,1032.9,919.3,1122.8,998.5,1162.6,1087.8,1278.6,897.3,1049.4,919.3,1119.1,1032.2,1223.2,1096.8,1314.3,817.2,997.4,893.1,1050.6,968.8,1159.6,1082.0,1265.6,839.1,1042.5,928.6,1088.6,991.4,1195.8,1105.5,1268.2,893.9,1045.0,899.4,1131.9,997.8,1168.2,1121.5,1296.7,865.5,1058.1,964.7,1081.0,1018.1,1248.6,1077.8,1352.3,824.9
9,598.2,412.6,600.0,581.9,789.0,728.1,943.5,577.8,795.9,727.0,948.0,706.5,935.7,856.2,1079.3,651.8,878.0,866.2,1034.3,695.4,919.6,860.7,1073.6,688.4,860.9,823.1,1031.7,735.8,906.6,856.3,1078.1,714.7,916.3,871.4,1103.0,782.6,976.8,1214.5,1114.3,765.8,1009.0,891.8,1153.5,867.6,1002.2,915.9,1159.9,709.4,925.8,906.9,1101.1,765.5,988.5,903.1,1134.4,741.5,988.9,911.4,1139.6,813.0,1025.1,920.6,1182.7,717.1,914.8,888.2,1117.3,801.8,1009.8,878.7,1139.8,765.9,1020.8,920.6,1151.3,794.8,1008.0,921.0,1178.8,821.4,1035.2,1005.6,1221.4,898.4,1096.7,994.6,1243.0,876.8,1088.6,1054.2,1269.3,910.6,1125.6,1058.4,1276.5,782.4,1040.0,980.9,1200.9,863.2,1055.3,967.4,1175.5,825.7,1064.5,984.8,1201.7,956.3,1094.3,1040.0,1213.3,810.5,1019.9,973.0,1210.9,888.2,1091.7,979.2,1225.1,867.2,1081.8,1055.8,1262.7,893.9,1153.7,1032.9,1310.8,787.6
10,683.3,451.5,661.9,605.6,811.9,720.3,938.8,583.0,824.4,704.6,944.3,786.0,993.0,879.0,1140.4,696.0,949.6,832.4,1056.9,803.3,1013.3,881.0,1161.3,697.8,926.8,825.7,1045.9,772.2,966.0,926.1,1114.1,884.6,1121.9,987.7,1225.4,933.4,1189.9,1051.9,1342.2,1037.7,1277.6,1142.1,1403.2,1101.6,1388.9,1199.1,1500.2,869.9,1130.8,997.5,1256.5,949.5,1171.9,1064.3,1317.5,1041.0,1273.3,1143.3,1415.5,1060.9,1405.8,1177.6,1489.9,896.9,1145.9,1011.5,1238.3,960.1,1178.0,1060.1,1298.9,986.7,1281.4,1149.8,1415.2,1098.5,1331.0,1189.8,1467.2,973.8,1259.4,1118.7,1374.5,1124.7,1324.6,1172.8,1425.4,1125.1,1418.3,1249.6,1547.9,1219.9,1503.5,1339.3,1629.0,959.6,1194.8,1093.5,1364.0,1055.7,1260.9,1158.4,1401.7,1092.5,1368.4,1270.9,1494.7,1174.3,1405.2,1276.7,1598.6,996.5,1223.3,1079.4,1368.4,1111.8,1325.1,1172.7,1434.5,1124.5,1435.9,1253.8,1519.5,1504.1,1468.0,1351.6,1596.6,966.3
