id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49
1,1107.902,1104.105,1100.663,1104.474,1104.627,1103.317,1103.266,1104.414,1100.723,1101.262,2104.927,2113.171,2104.947,2105.564,2104.025,3107.315,3104.138,3104.672,3144.376,3129.982,4129.674,4103.068,4102.314,4102.291,4152.297,4102.82,4119.538,4102.687,4102.69,4101.785,5103.842,5102.93,5104.309,5103.69,5105.463,6105.994,6103.636,6104.915,6105.003,6101.831,7104.953,7139.028,7104.406,7129.451,7103.356,8103.582,8103.83,8106.102,8109.037,8104.399
2,2161.849,2158.915,2200.05,2158.273,2159.115,2158.343,2173.982,2158.574,2159.539,2162.292,4158.065,4158.406,4160.325,4158.012,4159.243,6235.286,6158.471,6206.191,6211.33,6171.258,8156.87,8158.131,8157.807,8208.864,8158.668,8157.459,8157.456,8156.97,8157.391,8213.859,10164.537,10211.571,10159.469,10159,10163.184,12178.693,12158.06,12246.221,12161.932,12162.345,14161.45,14211.744,14166.9,14160.631,14186.946,16161.267,16160.114,16157.205,16162.668,16215.748
3,3211.995,3212.776,3211.912,3239.005,3213.423,3212.483,3215.05,3214.711,3212.248,3212.729,6215.41,6216.918,6213.804,6215.678,6216.405,9213.623,9215.17,9219.695,9322.911,9245.103,12213.02,12302.423,12212.445,12212.889,12210.323,12211.135,12216.121,12211.99,12213.759,12253.706,15215.538,15214.768,15215.104,15215.452,15217.467,18217.402,18239.215,18215.28,18218.792,18213.881,21214.164,21216.82,21218.382,21266.643,21214.811,24386.383,24256.963,24215.693,24255.6,24214.092
4,4293.679,4309.615,4322.38,4308.172,4345.596,4314.904,4315.421,4298.984,4308.292,4314.098,8308.447,8309.58,8310.226,8412.523,8309.951,12312.278,12293.302,12296.369,12308.959,12429.91,16424.082,16372.044,16352.595,16325.289,16309.921,16308.159,16431.259,16382.346,16307.069,16286.333,20311.021,20370.621,20364.597,20310.732,20310.387,24367.481,24339.376,24318.282,24413.635,24316.934,28294.648,28369.804,28432.424,28357.473,28425.484,32310.572,32296.016,32311.369,32314.351,32309.905
5,5404.659,5373.681,5400.881,5411.992,5375.404,5446.261,5372.45,5373.693,5372.032,5411.521,10406.241,10372.668,10410.413,10424.962,10372.818,15398.295,15410.58,15411.573,15490.768,15407.744,20407.601,20369.37,20444.043,20407.2,20387.795,20410.102,20404.487,20405.491,20402.081,20371.084,25408.972,25523.088,25407.546,25409.014,25410.142,30464.871,30526.774,30525.912,30406.729,30407.693,35422.503,35593.576,35407.926,35411.274,35426.419,40372.956,40412.806,40446.822,40408.212,40452.101
6,6501.185,6505.087,6497.853,6500.025,6498.74,6507.167,6582.224,6452.487,6507.512,6453.518,12510.645,12502.937,12504.733,12451.119,12431.324,18632.23,18543.658,18477.318,18504.7,18498.414,24563.461,24499.18,24502.791,24547.597,24469.942,24622.107,24526.606,24500.288,24525.213,24501.192,30505.597,30502.901,30588.7,30505.968,30453.457,36619.916,36481.986,36580.112,36619.546,36455.672,42501.591,42588.263,42530.798,42504.906,42582.503,48526.225,48454.381,48503.034,48545.83,48501.668
7,7597.412,7600.154,7528.173,7596.493,7602.058,7571.43,7520.605,7532.265,7537.281,7532.956,14602.419,14598.81,14601.223,14597.658,14600.056,21595.776,21601.913,21647.613,21534.441,21530.916,28539.153,28599.143,28596.116,28529.683,28663.751,28541.082,28593.929,28593.024,28596.853,28707.497,35602.373,35603.138,35597.738,35558.467,35601.008,42599.329,42601.459,42597.958,42694.085,42599.203,49590.063,49549.541,49605.342,49538.292,49533.271,56610.006,56601.666,56716.684,56604.342,56720.937
8,8693.464,8692.808,8605.048,8694.241,8693.143,8608.114,8715.633,8741.032,8703.427,8611.931,16601.239,16692.605,16611.93,16694.825,16695.85,24694.288,24828.315,24692.524,24595.932,24677.803,32698.325,32611.289,32738.501,32734.293,32694.419,32801.474,32693.624,32683.362,32697.716,32681.924,40699.919,40699.761,40618.673,40696.167,40735.997,48699.378,48696.744,48815.656,48694.697,48745.9,56687.913,56693.365,56736.132,56619.159,56698.926,64616.771,64734.032,64729.168,64696.174,64693.794
9,9691.395,9792.075,9787.68,9687.435,9790.749,9785.752,9790.208,9787.366,9792.257,9691.295,18690.196,18789.623,18889.936,18770.533,18770.722,27792.801,27788.628,27789.004,27789.922,27789.641,36792.402,36692.316,36741.906,36691.78,36797.82,36802.499,36766.345,36912.024,36820.142,36738.556,45796.601,45832.745,45921.563,45691.03,45791.931,54842.116,54918.501,54917.752,54802.64,54796.759,63795.662,63692.687,63797.624,63791.084,63797.273,72794.788,72791.998,72795.571,72691.075,72691.734
10,10775.686,10887.324,10772.955,10890.088,10890.592,10881.181,10890,10770.174,10765.458,10768.719,20880.146,20713.335,20885.791,20991.56,20887.545,30887.963,30996.378,30887.497,30998.636,30895.874,40896.954,40843.816,40777.753,40770.738,40880.345,40883.194,40886.55,40887.231,40762.856,40928.975,50773.296,51006.138,50928.88,50930.158,50885.602,60781.324,61008.446,60965.823,60807.095,60896.653,70842.532,70938.016,70848.464,70887.223,70888.552,80778.534,80891.754,80888.994,80927.248,80772.744
