id,feature0,feature1,feature2,feature3,feature4,feature5,feature6,feature7,feature8,feature9,feature10,feature11,feature12,feature13,feature14,feature15,feature16,feature17,feature18,feature19,feature20,feature21,feature22,feature23,feature24,feature25,feature26,feature27,feature28,feature29,feature30,feature31,feature32,feature33,feature34,feature35,feature36,feature37,feature38,feature39,feature40,feature41,feature42,feature43,feature44,feature45,feature46,feature47,feature48,feature49,feature50,feature51,feature52,feature53,feature54,feature55,feature56,feature57,feature58,feature59,feature60,feature61,feature62,feature63
1,789.2,333.6,419.2,448.8,506.0,548.2,557.5,429.4,535.4,559.8,542.7,583.2,614.7,644.1,675.9,544.4,622.6,614.0,675.1,581.7,614.8,652.5,652.6,540.6,574.7,618.7,670.5,553.9,623.8,649.1,674.3,611.7,652.3,713.5,710.7,631.2,692.6,735.2,762.5,652.9,732.1,720.0,725.5,690.6,735.3,731.4,751.5,604.3,649.1,693.8,711.8,673.0,705.1,728.2,739.9,635.0,708.0,720.7,740.2,699.0,726.0,740.0,770.2,622.9
2,495.9,308.9,377.2,397.1,484.5,425.4,537.2,380.0,506.9,430.1,488.7,545.1,602.6,544.0,577.1,478.1,523.5,500.7,551.1,525.3,566.8,551.7,591.3,492.1,578.2,526.2,550.8,576.2,570.5,565.1,652.9,567.6,654.1,598.2,623.1,571.0,656.8,634.2,710.3,635.8,681.6,587.9,708.4,660.9,692.7,631.9,715.8,562.9,641.6,583.2,653.9,566.6,622.3,620.7,693.3,593.4,635.0,629.3,676.7,619.5,691.6,639.7,746.0,559.0
3,407.4,324.2,410.2,401.9,523.5,421.3,566.9,385.8,520.1,428.8,531.0,554.2,890.2,564.0,630.5,465.2,569.4,494.8,591.6,486.3,608.7,528.3,618.9,492.7,591.1,491.1,592.5,516.2,665.7,570.5,619.8,546.4,662.8,596.3,686.6,565.5,662.2,678.6,748.8,573.1,706.8,607.5,687.6,662.3,744.7,657.5,765.5,552.1,643.2,551.2,663.4,559.9,692.7,641.1,714.0,576.4,653.4,609.1,694.9,618.5,792.2,682.3,720.8,554.3
4,451.5,324.7,438.0,459.5,596.0,514.1,611.9,430.0,575.4,524.2,651.9,559.1,642.6,635.1,739.8,514.5,664.7,604.9,702.0,544.7,686.7,647.3,733.8,554.5,639.7,604.2,711.5,542.2,668.5,617.9,747.4,582.8,702.6,681.3,789.7,635.6,755.0,690.1,777.3,637.3,737.5,756.5,776.5,640.4,772.7,755.0,788.8,569.0,693.8,673.9,780.1,641.4,724.6,675.6,804.7,635.1,760.1,693.4,819.1,647.2,777.0,728.3,834.3,590.5
5,493.9,335.8,461.4,430.7,556.7,463.4,599.0,410.3,597.6,465.9,593.4,517.4,677.0,551.4,736.5,511.6,659.7,555.7,666.1,544.2,663.8,614.3,735.5,500.7,639.0,561.0,708.5,546.6,677.1,598.4,741.3,588.5,736.8,601.9,737.6,611.3,733.0,664.1,821.9,631.3,742.0,625.1,820.4,985.0,804.5,671.4,802.1,593.6,763.4,614.2,733.3,616.8,724.6,637.7,778.7,661.9,746.9,638.9,775.5,671.4,777.7,687.9,847.1,602.4
6,513.9,350.3,488.7,452.2,585.5,469.4,600.1,419.7,582.6,486.0,630.0,533.3,687.4,571.2,702.8,504.9,644.6,553.4,668.6,545.5,715.8,577.3,697.2,502.9,647.6,528.5,679.1,538.4,688.5,579.5,691.4,609.8,729.7,620.7,772.2,654.0,741.7,663.1,855.2,642.8,762.9,661.8,792.7,664.9,849.4,688.3,861.6,583.2,704.4,639.6,764.8,663.2,774.0,682.9,808.2,600.8,737.9,687.8,766.1,700.8,871.1,706.1,814.2,591.1
7,510.9,364.7,559.2,495.8,648.7,574.2,700.5,485.4,625.6,574.1,712.8,589.0,759.6,671.8,818.4,542.8,724.6,635.1,792.3,609.5,764.4,670.1,849.2,548.6,733.7,607.4,819.3,613.2,729.4,687.5,850.4,607.4,797.4,697.2,879.7,641.2,839.1,742.2,898.5,652.9,831.4,757.1,871.4,713.2,836.3,762.8,919.3,622.8,792.1,690.0,890.2,648.1,802.4,723.2,858.2,681.4,874.5,730.8,883.3,673.1,847.5,741.3,902.0,622.3
8,530.8,381.2,565.3,492.0,655.3,513.6,682.8,478.3,660.8,508.0,703.2,577.6,754.5,643.5,775.3,551.4,713.9,577.2,748.1,561.7,724.1,603.7,838.7,539.8,694.4,571.0,783.0,611.0,771.3,607.4,810.5,604.0,837.3,626.7,809.4,641.5,811.9,692.1,901.3,642.9,811.9,661.3,819.9,697.2,862.9,720.4,933.3,602.5,834.6,630.0,828.5,654.6,812.3,702.1,875.0,659.1,851.2,672.6,847.7,691.8,883.0,708.5,873.3,613.0
9,628.0,404.1,607.2,471.6,730.1,554.6,715.2,483.2,693.1,506.7,694.1,609.0,767.7,607.2,816.8,574.4,771.1,599.0,757.6,565.9,794.8,631.5,825.2,535.6,781.3,579.3,770.1,561.7,800.2,630.9,796.8,620.0,808.1,654.8,842.2,649.2,850.4,685.9,899.7,646.1,822.2,683.6,859.5,695.8,869.8,734.5,933.9,613.4,821.5,642.7,851.8,656.1,842.4,704.1,894.8,648.8,829.2,701.6,894.5,734.2,871.6,752.0,907.1,626.1
10,688.5,422.4,694.3,531.8,772.3,606.0,821.0,545.4,768.6,634.0,836.1,624.2,841.7,709.8,970.6,592.4,817.5,701.4,891.5,643.2,894.5,714.6,959.0,609.2,858.1,677.0,899.3,629.0,862.7,719.5,915.8,659.5,900.8,736.0,936.7,716.1,931.9,801.3,996.6,748.2,950.5,785.5,971.6,734.6,970.9,810.5,1042.5,647.6,895.7,760.1,942.9,711.1,953.0,768.1,1021.3,693.6,951.5,763.2,1027.9,732.6,943.3,799.6,1011.2,668.3
